Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2019-08-17 19:00:00,12025,Mallorca,Eibar,2,1,10,10.1899,10,10.1636,10,9.9663
2019-08-25 16:00:00,12040,Mallorca,Real Sociedad,0,1,10.1899,10.0834,10.1636,10.1266,9.9663,10.0402
2019-09-01 16:00:00,12049,Mallorca,Valencia,0,2,10.0834,10.1254,10.1266,10.4370,10.0402,10.3139
2019-09-13 19:00:00,12059,Mallorca,Athletic Club,0,0,10.1254,10.1108,10.437,10.6220,10.3139,10.0996
2019-09-22 10:00:00,12071,Mallorca,Getafe,2,4,10.1108,9.6594,10.622,10.1749,10.0996,10.1440
2019-09-25 17:00:00,12079,Mallorca,Atletico Madrid,0,2,9.6594,9.1856,10.1749,10.0656,10.144,9.8057
2019-09-29 14:00:00,12083,Mallorca,Alaves,0,2,9.1856,8.9631,10.0656,9.9252,9.8057,10.0011
2019-10-06 11:00:00,12097,Mallorca,Espanyol,2,0,8.9631,9.3593,9.9252,9.8959,10.0011,10.3228
2019-10-19 20:00:00,12110,Mallorca,Real Madrid,1,0,9.3593,10.0510,9.8959,10.1970,10.3228,11.1551
2019-10-26 15:00:00,12117,Mallorca,Leganes,0,1,10.051,10.0524,10.197,10.2226,11.1551,11.3822
2019-10-31 18:00:00,12129,Mallorca,Osasuna,2,2,10.0524,10.0427,10.2226,10.5345,11.3822,11.0509
2019-11-03 11:00:00,12142,Mallorca,Real Valladolid,0,3,10.0427,9.6521,10.5345,10.5506,11.0509,11.0036
2019-11-10 11:00:00,12150,Mallorca,Villarreal,3,1,9.6521,10.2224,10.5506,10.2514,11.0036,11.9433
2019-11-22 20:00:00,12158,Mallorca,Levante,1,2,10.2224,10.4373,10.2514,10.6103,11.9433,12.2641
2019-11-30 17:30:00,12169,Mallorca,Real Betis,1,2,10.4373,10.0381,10.6103,10.4847,12.2641,11.8412
2019-12-07 20:00:00,12173,Mallorca,Barcelona,2,5,10.0381,9.5882,10.4847,9.9698,11.8412,12.2063
2019-12-15 13:00:00,12186,Mallorca,Celta Vigo,2,2,9.5882,9.8229,9.9698,10.0364,12.2063,12.6090
2019-12-21 12:00:00,12198,Mallorca,Sevilla,0,2,9.8229,9.5237,10.0364,9.9822,12.609,12.5649
2020-01-05 11:00:00,12208,Mallorca,Granada,0,1,9.5237,9.4909,9.9822,10.0480,12.5649,12.6836
2020-01-19 11:00:00,12219,Mallorca,Valencia,4,1,9.4909,10.5146,10.048,10.7550,12.6836,13.2741
2020-01-26 17:30:00,12229,Mallorca,Real Sociedad,0,3,10.5146,10.1382,10.755,10.6782,13.2741,13.3481
2020-02-01 17:30:00,12237,Mallorca,Real Valladolid,0,1,10.1382,9.6629,10.6782,10.3173,13.3481,13.0085
2020-02-09 11:00:00,12243,Mallorca,Espanyol,0,1,9.6629,9.6385,10.3173,10.2565,13.0085,13.2704
2020-02-15 12:00:00,12258,Mallorca,Alaves,1,0,9.6385,9.9223,10.2565,10.6041,13.2704,13.2404
2020-02-21 20:00:00,12266,Mallorca,Real Betis,3,3,9.9223,10.2506,10.6041,10.3859,13.2404,14.1151
2020-03-01 17:30:00,12278,Mallorca,Getafe,0,1,10.2506,10.2421,10.3859,10.4173,14.1151,14.3167
2020-03-07 12:00:00,12287,Mallorca,Eibar,2,1,10.2421,10.3743,10.4173,10.2844,14.3167,14.4640
2020-06-13 20:00:00,12297,Mallorca,Barcelona,0,4,10.3743,9.6738,10.2844,10.0714,14.464,14.2761
2020-06-16 17:30:00,12309,Mallorca,Villarreal,0,1,9.6738,9.2362,10.0714,9.8918,14.2761,13.8304
2020-06-19 17:30:00,12319,Mallorca,Leganes,1,1,9.2362,9.1695,9.8918,9.6728,13.8304,13.9161
2020-06-24 20:00:00,12329,Mallorca,Real Madrid,0,2,9.1695,9.2807,9.6728,10.0889,13.9161,14.2224
2020-06-27 16:30:00,12333,Mallorca,Athletic Club,1,3,9.2807,9.3075,10.0889,10.2150,14.2224,14.6500
2020-06-30 23:00:00,12348,Mallorca,Celta Vigo,5,1,9.3075,10.6987,10.215,10.6369,14.65,16.0105
2020-07-03 20:00:00,12354,Mallorca,Atletico Madrid,0,3,10.6987,10.4951,10.6369,10.6692,16.0105,16.3209
2020-07-09 17:30:00,12371,Mallorca,Levante,2,0,10.4951,10.9421,10.6692,10.7367,16.3209,16.6474
2020-07-12 20:00:00,12381,Mallorca,Sevilla,0,2,10.9421,10.7852,10.7367,10.6790,16.6474,16.8912
2020-07-16 19:00:00,12391,Mallorca,Granada,1,2,10.7852,10.1634,10.679,10.3385,16.8912,16.2382
2020-07-19 19:00:00,12399,Mallorca,Osasuna,2,2,10.1634,9.9855,10.3385,10.0571,16.2382,16.1637
2021-08-14 17:30:00,17138,Mallorca,Real Betis,1,1,9.9855,9.9242,10.0571,9.9346,16.1637,16.1635
2021-08-21 15:00:00,17147,Mallorca,Alaves,1,0,9.9242,10.4112,9.9346,10.1473,16.1635,16.6747
2021-08-27 18:00:00,17156,Mallorca,Espanyol,1,0,10.4112,10.4676,10.1473,10.2013,16.6747,16.4835
2021-09-11 19:00:00,17166,Mallorca,Athletic Club,0,2,10.4676,9.8624,10.2013,9.6886,16.4835,16.2858
2021-09-19 12:00:00,17181,Mallorca,Villarreal,0,0,9.8624,9.7385,9.6886,9.2883,16.2858,16.4382
2021-09-22 20:00:00,17190,Mallorca,Real Madrid,1,6,9.7385,9.2121,9.2883,9.7161,16.4382,16.2075
2021-09-26 12:00:00,17203,Mallorca,Osasuna,2,3,9.2121,8.8683,9.7161,9.8988,16.2075,15.5872
2021-10-02 14:15:00,17213,Mallorca,Levante,1,0,8.8683,9.0378,9.8988,9.5703,15.5872,16.0046
2021-10-16 19:00:00,17223,Mallorca,Real Sociedad,0,1,9.0378,9.3517,9.5703,10.1230,16.0046,16.3297
2021-10-23 12:00:00,17228,Mallorca,Valencia,2,2,9.3517,9.8517,10.123,10.4571,16.3297,16.9955
2021-10-27 17:00:00,17245,Mallorca,Sevilla,1,1,9.8517,10.1457,10.4571,10.9644,16.9955,17.0763
2021-10-31 13:00:00,17254,Mallorca,Cadiz,1,1,10.1457,10.0516,10.9644,10.6788,17.0763,17.1736
2021-11-07 17:30:00,17260,Mallorca,Elche,2,2,10.0516,9.9087,10.6788,10.8782,17.1736,16.6884
