Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2016-08-13 18:00:00,465,Middlesbrough,Stoke,1,1,10,9.6753,10,10.0052,10,9.3454
2016-08-21 16:30:00,479,Middlesbrough,Sunderland,2,1,9.6753,10.2346,10.0052,10.1621,9.3454,10.0571
2016-08-28 16:30:00,489,Middlesbrough,West Bromwich Albion,0,0,10.2346,10.4116,10.1621,10.2641,10.0571,10.3091
2016-09-10 18:00:00,492,Middlesbrough,Crystal Palace,1,2,10.4116,9.7065,10.2641,9.6808,10.3091,9.7321
2016-09-17 20:30:00,506,Middlesbrough,Everton,1,3,9.7065,9.3107,9.6808,9.5359,9.7321,9.5855
2016-09-24 18:00:00,512,Middlesbrough,Tottenham,1,2,9.3107,9.2042,9.5359,9.4159,9.5855,9.7426
2016-10-01 18:00:00,526,Middlesbrough,West Ham,1,1,9.2042,9.1477,9.4159,9.3517,9.7426,9.6938
2016-10-16 16:30:00,538,Middlesbrough,Watford,0,1,9.1477,9.1224,9.3517,9.6862,9.6938,9.5586
2016-10-22 18:00:00,547,Middlesbrough,Arsenal,0,0,9.1224,10.0624,9.6862,10.8371,9.5586,10.2876
2016-10-29 18:00:00,2681,Middlesbrough,Bournemouth,2,0,10.0624,10.9689,10.8371,11.2179,10.2876,11.2199
2016-11-05 19:00:00,2689,Middlesbrough,Manchester City,1,1,10.9689,11.2964,11.2179,10.9736,11.2199,12.1192
2016-11-20 20:00:00,2705,Middlesbrough,Chelsea,0,1,11.2964,11.3078,10.9736,10.9531,12.1192,12.4125
2016-11-26 19:00:00,2711,Middlesbrough,Leicester,2,2,11.3078,11.1927,10.9531,10.4323,12.4125,12.7030
2016-12-06 00:00:00,3114,Middlesbrough,Hull,1,0,11.1927,10.5241,10.4323,9.9458,12.703,11.6024
2016-12-11 18:15:00,3123,Middlesbrough,Southampton,0,1,10.5241,10.0416,9.9458,9.4045,11.6024,11.4287
2016-12-14 23:45:00,3127,Middlesbrough,Liverpool,0,3,10.0416,9.2944,9.4045,8.9139,11.4287,11.1749
2016-12-17 19:00:00,3136,Middlesbrough,Swansea,3,0,9.2944,9.7591,8.9139,8.9069,11.1749,11.3613
2016-12-26 19:00:00,3150,Middlesbrough,Burnley,0,1,9.7591,9.5883,8.9069,9.0918,11.3613,11.0847
2016-12-31 15:00:00,3159,Middlesbrough,Manchester United,1,2,9.5883,9.8982,9.0918,9.1780,11.0847,11.8684
2017-01-02 16:30:00,3330,Middlesbrough,Leicester,0,0,9.8982,9.8096,9.178,9.1444,11.8684,11.7248
2017-01-14 19:00:00,3341,Middlesbrough,Watford,0,0,9.8096,9.6517,9.1444,8.8589,11.7248,11.6946
2017-01-21 18:00:00,3351,Middlesbrough,West Ham,1,3,9.6517,9.1428,8.8589,8.4258,11.6946,11.6099
2017-01-31 22:45:00,3363,Middlesbrough,West Bromwich Albion,1,1,9.1428,9.1201,8.4258,8.3853,11.6099,11.6051
2017-02-04 17:30:00,3377,Middlesbrough,Tottenham,0,1,9.1201,9.9031,8.3853,9.0194,11.6051,12.7870
2017-02-11 15:00:00,3382,Middlesbrough,Everton,0,0,9.9031,10.4215,9.0194,9.4926,12.787,13.3505
2017-02-25 15:00:00,3392,Middlesbrough,Crystal Palace,0,1,10.4215,9.9415,9.4926,9.2677,13.3505,12.8655
2017-03-04 15:00:00,3403,Middlesbrough,Stoke,0,2,9.9415,9.5926,9.2677,8.7435,12.8655,13.1919
2017-03-19 12:00:00,3425,Middlesbrough,Manchester United,1,3,9.5926,9.2492,8.7435,8.5540,13.1919,13.1947
2017-04-02 13:30:00,3438,Middlesbrough,Swansea,0,0,9.2492,9.4865,8.554,8.8174,13.1947,13.4059
2017-04-05 19:45:00,3442,Middlesbrough,Hull,2,4,9.4865,9.0091,8.8174,8.6085,13.4059,13.1599
2017-04-08 15:00:00,3456,Middlesbrough,Burnley,0,0,9.0091,8.9165,8.6085,8.4845,13.1599,13.0986
2017-04-17 20:00:00,3461,Middlesbrough,Arsenal,1,2,8.9165,8.7868,8.4845,8.7677,13.0986,12.8059
2017-04-22 15:00:00,3471,Middlesbrough,Bournemouth,0,4,8.7868,8.2983,8.7677,8.5117,12.8059,13.0849
2017-04-26 19:45:00,3413,Middlesbrough,Sunderland,1,0,8.2983,8.3630,8.5117,8.4214,13.0849,13.0546
2017-04-30 14:05:00,3483,Middlesbrough,Manchester City,2,2,8.363,9.0478,8.4214,8.6237,13.0546,14.2220
2017-05-08 20:00:00,3493,Middlesbrough,Chelsea,0,3,9.0478,9.1285,8.6237,8.9023,14.222,14.8549
2017-05-13 15:00:00,3504,Middlesbrough,Southampton,1,2,9.1285,8.9441,8.9023,8.9187,14.8549,14.7197
2017-05-21 15:00:00,3515,Middlesbrough,Liverpool,0,3,8.9441,8.6204,8.9187,9.0276,14.7197,14.7135
