Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2016-08-14 17:00:00,2256,Nancy,Lyon,0,3,9.1250,10.8750,9.3885,10.6115,9.6115,10.3885
2016-08-20 22:00:00,2263,Nancy,Rennes,0,2,8.8569,9.8206,9.7481,10.4090,9.2156,11.2320
2016-08-27 22:00:00,2273,Nancy,Guingamp,0,2,8.6161,10.6344,9.9642,12.3118,9.0178,13.9578
2016-09-10 22:00:00,2283,Nancy,Lorient,2,0,9.2455,8.0041,10.0038,8.1835,9.7369,14.0755
2016-09-17 22:00:00,2291,Nancy,Nantes,1,1,9.0180,9.0631,9.4780,10.2045,9.8077,8.9216
2016-09-21 21:00:00,2301,Nancy,SC Bastia,0,0,9.5151,10.0095,9.9140,5.2951,10.3660,18.4738
2016-09-25 19:00:00,2317,Nancy,Nice,0,1,9.7223,11.6369,10.4976,6.7837,10.4469,12.4893
2016-10-01 22:00:00,2322,Nancy,Lille,0,1,9.4615,9.4398,10.0970,7.7258,10.5759,9.4036
2016-10-15 19:00:00,2331,Nancy,Paris Saint Germain,1,2,9.6277,11.4601,10.4133,6.5070,10.8420,-19.0863
2016-10-22 22:00:00,2342,Nancy,Bordeaux,1,1,9.9119,9.9804,10.6443,11.3056,11.1794,9.4050
2016-10-29 22:00:00,3322,Nancy,Caen,2,0,10.1186,9.0318,10.5324,8.3351,11.2046,16.2275
2016-11-05 20:00:00,2834,Nancy,Monaco,0,6,9.1611,12.7462,10.0302,9.4473,11.2919,2.7954
2016-11-19 23:00:00,2848,Nancy,Dijon,1,0,9.5042,9.6905,10.1114,9.1626,11.6470,10.7184
2016-11-26 23:00:00,2859,Nancy,Montpellier,0,0,9.7519,9.7474,10.2872,10.6721,11.9666,10.0724
2016-11-30 22:00:00,2870,Nancy,Metz,4,0,10.5981,8.7905,10.2862,13.8768,12.6600,14.4548
2016-12-04 20:00:00,3237,Nancy,Marseille,0,3,9.8135,10.7442,10.1825,8.2623,11.9445,3.4754
2016-12-10 23:00:00,3242,Nancy,Angers,2,0,10.1591,9.3502,10.3679,9.3320,11.9502,10.1192
2016-12-17 23:00:00,3252,Nancy,Toulouse,1,1,10.1523,9.6387,10.3249,18.5245,11.9796,7.7532
2016-12-21 23:50:00,3259,Nancy,Saint-Etienne,0,0,10.1501,9.6458,10.0178,3.7960,12.2823,8.4955
2017-01-14 23:00:00,4110,Nancy,SC Bastia,1,0,10.2576,9.9725,10.1796,5.5937,12.0854,19.8517
2017-01-28 22:00:00,4129,Nancy,Bordeaux,0,2,9.4198,10.2440,9.8190,12.5188,11.2703,9.7191
2017-02-05 16:00:00,4142,Nancy,Nantes,2,0,10.2032,9.2700,9.9807,12.7844,12.1754,9.7553
2017-02-08 21:00:00,4149,Nancy,Lyon,0,4,9.3648,11.1880,9.4296,11.2743,12.0497,6.8520
2017-02-11 19:00:00,4155,Nancy,Montpellier,0,3,8.5860,10.5283,9.2096,10.9708,11.4620,11.0854
2017-02-18 19:00:00,4172,Nancy,Angers,0,1,8.6676,9.3306,9.3930,10.7812,11.6917,10.1309
2017-02-21 17:30:00,4117,Nancy,Caen,0,1,8.5746,8.8887,9.2364,9.5276,11.9124,15.9988
2017-02-25 19:00:00,4175,Nancy,Toulouse,0,0,9.0460,10.4886,9.5518,19.1816,12.5397,8.7962
2017-03-04 16:00:00,4188,Nancy,Paris Saint Germain,0,1,9.7993,11.8060,9.8845,7.9599,13.9636,-26.0974
2017-03-11 19:00:00,4195,Nancy,Lille,1,2,9.4838,10.3527,9.7428,7.8838,13.7242,11.5715
2017-03-18 19:00:00,4208,Nancy,Lorient,2,3,8.9353,9.3385,9.5187,13.5668,13.1014,16.6112
2017-03-31 18:00:00,4224,Nancy,Guingamp,0,1,9.0728,9.8477,9.2132,12.0997,13.9318,13.5969
2017-04-08 19:00:00,4225,Nancy,Rennes,3,0,9.9142,9.0972,9.4417,11.0626,14.6362,11.3813
2017-04-15 16:00:00,4236,Nancy,Nice,1,3,9.8254,11.1478,9.5653,1.0862,14.8350,12.2090
2017-04-21 19:45:00,4245,Nancy,Marseille,0,0,10.0188,10.9054,9.7696,6.7854,15.0174,2.5244
2017-04-29 19:00:00,4263,Nancy,Metz,1,2,9.5244,9.0355,9.2820,15.8252,14.7661,18.2466
2017-05-06 19:00:00,4265,Nancy,Monaco,0,3,9.1792,11.9887,8.9711,2.9935,15.1365,-4.2658
2017-05-14 20:00:00,4280,Nancy,Dijon,0,2,8.7118,9.2772,9.1364,6.4691,14.5365,15.0855
2017-05-20 20:00:00,4285,Nancy,Saint-Etienne,3,1,9.2734,8.8965,9.5550,3.0734,14.7410,8.4690
