Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-17 16:00:00,4757,Newcastle United,Manchester City,0,2,10,9.3750,10,9.7463,10,9.5037
2014-08-23 12:45:00,4759,Newcastle United,Aston Villa,0,0,9.375,9.5000,9.7463,9.9192,9.5037,9.5808
2014-08-30 15:00:00,4771,Newcastle United,Crystal Palace,3,3,9.5,9.5000,9.9192,9.9285,9.5808,9.5715
2014-09-13 15:00:00,4722,Newcastle United,Southampton,0,4,9.5,8.6875,9.9285,9.8742,9.5715,9.0008
2014-09-20 15:00:00,4733,Newcastle United,Hull,2,2,8.6875,8.7188,9.8742,10.1710,9.0008,8.7665
2014-09-29 20:00:00,4748,Newcastle United,Stoke,0,1,8.7188,8.9063,10.171,10.5030,8.7665,9.0595
2014-10-04 15:00:00,4693,Newcastle United,Swansea,2,2,8.9063,9.4024,10.503,10.9075,9.0595,9.6472
2014-10-18 15:00:00,4704,Newcastle United,Leicester,1,0,9.4024,9.7462,10.9075,11.3869,9.6472,9.6053
2014-10-26 13:30:00,4715,Newcastle United,Tottenham,2,1,9.7462,10.3683,11.3869,11.4346,9.6053,10.5518
2014-11-01 12:45:00,4649,Newcastle United,Liverpool,1,0,10.3683,10.5216,11.4346,11.6653,10.5518,10.3777
2014-11-09 13:30:00,4667,Newcastle United,West Bromwich Albion,2,0,10.5216,11.0240,11.6653,11.6500,10.3777,10.8978
2014-11-22 15:00:00,4670,Newcastle United,Queens Park Rangers,1,0,11.024,11.0101,11.65,11.6552,10.8978,10.6148
2014-11-29 15:00:00,4680,Newcastle United,West Ham,0,1,11.0101,10.6171,11.6552,11.2989,10.6148,10.4352
2014-12-02 19:45:00,4589,Newcastle United,Burnley,1,1,10.6171,10.3651,11.2989,11.1275,10.4352,10.1027
2014-12-06 12:45:00,4599,Newcastle United,Chelsea,2,1,10.3651,10.5453,11.1275,10.8886,10.1027,10.4520
2014-12-13 17:30:00,4615,Newcastle United,Arsenal,1,4,10.5453,9.9601,10.8886,10.6911,10.452,10.2292
2014-12-21 13:30:00,4626,Newcastle United,Sunderland,0,1,9.9601,9.2561,10.6911,9.9161,10.2292,9.8461
2014-12-26 15:00:00,4636,Newcastle United,Manchester United,1,3,9.2561,9.2541,9.9161,10.2066,9.8461,10.0516
2014-12-28 16:15:00,4647,Newcastle United,Everton,3,2,9.2541,9.4505,10.2066,10.3130,10.0516,10.0879
2015-01-01 15:00:00,4553,Newcastle United,Burnley,3,3,9.4505,9.2906,10.313,10.0508,10.0879,10.0304
2015-01-10 15:00:00,4565,Newcastle United,Chelsea,0,2,9.2906,9.3977,10.0508,10.4863,10.0304,10.3091
2015-01-17 17:30:00,4577,Newcastle United,Southampton,1,2,9.3977,9.5226,10.4863,10.9674,10.3091,10.3278
2015-01-31 12:45:00,4581,Newcastle United,Hull,3,0,9.5226,10.4146,10.9674,10.9894,10.3278,11.3398
2015-02-08 14:05:00,4523,Newcastle United,Stoke,1,1,10.4146,10.4870,10.9894,11.2041,11.3398,11.2698
2015-02-11 20:00:00,4533,Newcastle United,Crystal Palace,1,1,10.487,10.4578,11.2041,11.0529,11.2698,11.3626
2015-02-21 17:30:00,4541,Newcastle United,Manchester City,0,5,10.4578,9.0826,11.0529,10.1881,11.3626,10.7271
2015-02-28 15:00:00,4548,Newcastle United,Aston Villa,1,0,9.0826,8.6047,10.1881,9.4999,10.7271,10.2096
2015-03-04 19:45:00,4487,Newcastle United,Manchester United,0,1,8.6047,8.5583,9.4999,9.5795,10.2096,10.2873
2015-03-15 16:00:00,4500,Newcastle United,Everton,0,3,8.5583,8.2558,9.5795,9.6648,10.2873,10.3470
2015-03-21 15:00:00,4508,Newcastle United,Arsenal,1,2,8.2558,8.6107,9.6648,10.3327,10.347,10.6389
2015-04-05 16:00:00,4448,Newcastle United,Sunderland,0,1,8.6107,8.3799,10.3327,10.3441,10.6389,10.4160
2015-04-13 20:00:00,4460,Newcastle United,Liverpool,0,2,8.3799,8.5458,10.3441,10.7845,10.416,10.8074
2015-04-19 16:00:00,4467,Newcastle United,Tottenham,1,3,8.5458,8.3743,10.7845,10.8480,10.8074,10.9008
2015-04-25 15:00:00,4470,Newcastle United,Swansea,2,3,8.3743,8.4396,10.848,11.1536,10.9008,10.9758
2015-05-02 12:45:00,4399,Newcastle United,Leicester,0,3,8.4396,8.4534,11.1536,11.0319,10.9758,11.8751
2015-05-09 15:00:00,4413,Newcastle United,West Bromwich Albion,1,1,8.4534,8.6928,11.0319,11.2779,11.8751,12.1080
2015-05-16 15:00:00,4420,Newcastle United,Queens Park Rangers,1,2,8.6928,8.8163,11.2779,12.0619,12.108,11.8210
2015-05-24 15:00:00,4438,Newcastle United,West Ham,2,0,8.8163,9.4966,12.0619,12.5486,11.821,12.1948
