Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-09 20:00:00,6192,Nice,Toulouse,3,2,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-08-16 19:00:00,6200,Nice,Lorient,0,0,10.1250,9.8750,9.9483,10.0517,10.3017,9.6983
2014-08-23 19:00:00,6208,Nice,Bordeaux,1,3,9.6250,11.1250,9.8081,10.8127,9.9419,10.1873
2014-08-29 19:30:00,6215,Nice,Marseille,0,4,8.8438,10.7812,9.0302,10.9777,10.1573,9.8348
2014-09-13 19:00:00,6150,Nice,Metz,1,0,9.1954,9.3984,9.2013,9.7985,10.4393,9.4984
2014-09-20 19:00:00,6159,Nice,Nantes,1,2,9.2139,9.7510,8.9978,10.9297,10.9299,8.8222
2014-09-24 18:00:00,6171,Nice,Lille,1,0,9.6895,10.1406,9.3849,9.1114,11.2440,10.1699
2014-09-27 13:00:00,6175,Nice,Monaco,1,0,10.2371,9.8323,9.6350,9.7593,11.8391,10.4054
2014-10-04 19:00:00,6116,Nice,Montpellier,1,1,10.0521,10.1822,9.6032,9.0559,11.5009,10.3084
2014-10-18 19:00:00,6130,Nice,SC Bastia,0,1,9.3276,9.3785,9.2941,9.4439,10.6109,10.5631
2014-10-26 16:00:00,6142,Nice,Guingamp,7,2,10.7691,8.1523,9.8777,9.9500,11.6604,9.1043
2014-11-01 19:00:00,6081,Nice,Lyon,1,3,10.4566,12.3314,9.9486,10.1005,11.4644,11.5625
2014-11-08 19:00:00,6090,Nice,Evian Thonon Gaillard,0,1,9.9993,9.5845,9.6820,10.1737,11.0663,10.7454
2014-11-22 19:00:00,6099,Nice,Reims,0,0,9.9453,10.3374,9.7556,10.2265,10.8848,12.1982
2014-11-29 16:00:00,6105,Nice,Paris Saint Germain,0,1,10.1581,11.0836,9.8663,9.6457,11.4496,7.7716
