Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2018-08-11 21:00:00,10647,Nimes,Angers,4,3,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2018-08-19 22:00:00,10662,Nimes,Marseille,3,1,10.7128,10.6386,10.3788,8.0449,10.5469,-9.5162
2018-08-25 21:00:00,10666,Nimes,Toulouse,0,1,10.3009,9.9770,9.6581,21.1607,10.6938,11.7919
2018-09-01 15:00:00,10674,Nimes,Paris Saint Germain,2,4,9.8548,11.4626,9.3678,5.4865,10.5919,-4.0621
2018-09-16 15:00:00,10684,Nimes,Bordeaux,3,3,10.0058,9.8078,9.6266,13.1780,10.6351,4.9387
2018-09-21 18:45:00,10696,Nimes,Monaco,1,1,10.1657,9.9857,9.5525,-5.4021,11.0291,-11.8764
2018-09-26 17:00:00,10710,Nimes,Guingamp,0,0,9.5409,8.7913,9.0694,14.9469,10.2626,15.6349
2018-09-30 15:00:00,10718,Nimes,Montpellier,0,3,9.1486,10.8639,8.9996,11.3109,10.2978,11.9157
2018-10-06 18:00:00,10730,Nimes,Reims,0,0,9.1901,9.7730,8.8603,12.1381,10.5200,16.6574
2018-10-19 18:45:00,10735,Nimes,Lyon,0,2,9.0919,10.3956,9.1821,6.9471,10.5018,2.8440
2018-10-26 18:45:00,10749,Nimes,Saint-Etienne,1,1,9.2596,10.0950,9.3766,5.5167,10.6427,9.9231
2018-11-03 19:00:00,10754,Nimes,Dijon,4,0,10.4321,8.2773,9.7359,6.2602,11.6285,19.7954
2018-11-10 19:00:00,10767,Nimes,Nice,0,1,10.0213,10.6995,9.5489,0.7569,11.2438,12.8908
2018-11-24 19:00:00,10782,Nimes,Strasbourg,1,0,10.4877,9.9206,9.8595,10.0290,11.6160,13.8125
2018-12-01 19:00:00,10787,Nimes,Amiens,3,0,10.8223,8.9913,9.7637,6.1237,11.6309,15.8584
2018-12-05 18:00:00,10797,Nimes,Caen,2,1,10.9324,9.6526,10.0703,15.7593,11.2945,23.0469
2018-12-16 14:00:00,10821,Nimes,Lille,2,3,10.4438,10.9664,9.9348,7.9926,10.7027,16.1907
2018-12-22 19:00:00,10830,Nimes,Rennes,0,4,9.6063,11.4315,9.5084,13.0400,10.4542,11.0743
2019-01-16 18:00:00,10807,Nimes,Nantes,1,0,9.9964,10.2765,9.7097,14.8687,10.7831,10.9338
2019-01-19 19:00:00,10847,Nimes,Toulouse,0,1,9.6570,10.4780,9.5635,21.5994,10.5004,14.3557
2019-01-23 18:00:00,10837,Nimes,Angers,3,1,10.1270,9.5670,9.5793,9.6123,10.9246,10.2712
2019-01-26 19:00:00,10860,Nimes,Nice,0,2,9.7853,10.6019,9.4795,0.7625,10.8410,11.9401
2019-02-03 14:00:00,10866,Nimes,Montpellier,1,1,9.8301,10.4195,9.4633,9.7968,10.9467,10.7906
2019-02-10 14:00:00,10877,Nimes,Nantes,4,2,10.4969,9.3304,9.6356,14.8607,11.6080,9.7996
2019-02-15 18:00:00,10890,Nimes,Dijon,2,0,10.5717,9.2214,9.2354,7.4266,11.6579,22.7673
2019-02-23 16:00:00,10898,Nimes,Paris Saint Germain,0,3,10.4421,12.6827,9.0287,3.1857,12.3553,-12.8209
2019-03-09 19:00:00,10920,Nimes,Amiens,1,2,10.2619,10.4016,8.7106,8.7215,12.5631,17.5808
2019-03-16 19:00:00,10924,Nimes,Strasbourg,2,2,10.0797,10.2154,8.9812,7.7741,11.9281,14.9070
2019-04-01 19:30:00,10936,Nimes,Saint-Etienne,1,2,10.2290,11.0275,9.2451,5.4056,12.2128,9.6492
2019-04-06 19:00:00,10947,Nimes,Caen,2,0,10.3651,9.1371,9.1052,15.1139,12.1248,26.4115
2019-04-09 18:00:00,10912,Nimes,Rennes,3,1,10.7578,10.0434,9.1558,12.3071,12.3597,9.5315
