Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-08 18:00:00,85,Norwich,Crystal Palace,1,3,10,9.3449,10,9.6001,10,9.5896
2015-08-15 18:00:00,93,Norwich,Sunderland,3,1,9.3449,10.1176,9.6001,10.2198,9.5896,10.0154
2015-08-22 18:00:00,102,Norwich,Stoke,1,1,10.1176,10.3531,10.2198,11.0680,10.0154,9.6382
2015-08-30 16:30:00,119,Norwich,Southampton,0,3,10.3531,9.5504,11.068,10.4614,9.6382,9.3894
2015-09-12 18:00:00,126,Norwich,Bournemouth,3,1,9.5504,9.6713,10.4614,10.3178,9.3894,9.2748
2015-09-20 19:00:00,140,Norwich,Liverpool,1,1,9.6713,9.6801,10.3178,9.9896,9.2748,9.6206
2015-09-26 18:00:00,147,Norwich,West Ham,2,2,9.6801,10.0345,9.9896,10.0395,9.6206,10.2795
2015-10-03 18:00:00,155,Norwich,Leicester,1,2,10.0345,9.7775,10.0395,9.5770,10.2795,10.4781
2015-10-18 19:00:00,169,Norwich,Newcastle United,2,6,9.7775,8.6592,9.577,9.2324,10.4781,9.5861
2015-10-24 18:00:00,174,Norwich,West Bromwich Albion,0,1,8.6592,8.3143,9.2324,9.0320,9.5861,9.3467
2015-10-31 19:00:00,183,Norwich,Manchester City,1,2,8.3143,8.9166,9.032,9.4692,9.3467,10.3642
2015-11-07 19:00:00,194,Norwich,Swansea,1,0,8.9166,9.3531,9.4692,9.8539,10.3642,10.6024
2015-11-21 19:00:00,207,Norwich,Chelsea,0,1,9.3531,9.3524,9.8539,9.6127,10.6024,11.0922
2015-11-29 20:15:00,220,Norwich,Arsenal,1,1,9.3524,9.9244,9.6127,10.0230,11.0922,11.8259
2015-12-05 19:00:00,223,Norwich,Watford,0,2,9.9244,9.8663,10.023,10.0245,11.8259,12.2082
2015-12-12 16:45:00,231,Norwich,Everton,1,1,9.8663,9.9882,10.0245,9.9107,12.2082,12.5658
2015-12-19 19:00:00,246,Norwich,Manchester United,2,1,9.9882,10.6398,9.9107,10.1980,12.5658,13.3316
2015-12-26 19:00:00,253,Norwich,Tottenham,0,3,10.6398,10.0064,10.198,9.8259,13.3316,13.1869
2015-12-28 19:00:00,263,Norwich,Aston Villa,2,0,10.0064,10.0591,9.8259,9.5955,13.1869,13.0228
2016-01-02 19:00:00,276,Norwich,Southampton,1,0,10.0591,10.2943,9.5955,9.7238,13.0228,13.1148
2016-01-13 23:45:00,285,Norwich,Stoke,1,3,10.2943,10.0983,9.7238,9.7651,13.1148,13.1815
2016-01-16 19:00:00,296,Norwich,Bournemouth,0,3,10.0983,9.5889,9.7651,9.5218,13.1815,13.1559
2016-01-23 16:45:00,301,Norwich,Liverpool,4,5,9.5889,9.1040,9.5218,9.1831,13.1559,12.7748
2016-02-02 23:45:00,313,Norwich,Tottenham,0,3,9.104,8.5518,9.1831,8.9246,12.7748,12.6790
2016-02-06 19:00:00,326,Norwich,Aston Villa,0,2,8.5518,8.3733,8.9246,9.3018,12.679,12.4447
2016-02-13 19:00:00,333,Norwich,West Ham,2,2,8.3733,8.7950,9.3018,9.7965,12.4447,12.7934
2016-02-27 19:00:00,343,Norwich,Leicester,0,1,8.795,9.5735,9.7965,10.5876,12.7934,13.8094
2016-03-01 23:45:00,353,Norwich,Chelsea,1,2,9.5735,9.7223,10.5876,11.0516,13.8094,13.8931
2016-03-05 19:00:00,361,Norwich,Swansea,0,1,9.7223,9.6787,11.0516,11.2665,13.8931,13.8409
2016-03-12 16:45:00,369,Norwich,Manchester City,0,0,9.6787,9.5186,11.2665,11.0020,13.8409,13.7852
2016-03-19 19:00:00,378,Norwich,West Bromwich Albion,1,0,9.5186,10.0869,11.002,11.4369,13.7852,14.2369
2016-04-02 18:00:00,387,Norwich,Newcastle United,3,2,10.0869,9.9340,11.4369,11.0800,14.2369,14.0380
2016-04-09 18:00:00,399,Norwich,Crystal Palace,0,1,9.934,9.6431,11.08,10.8454,14.038,13.9407
2016-04-16 15:45:00,405,Norwich,Sunderland,0,3,9.6431,8.7527,10.8454,10.4782,13.9407,13.2772
2016-04-30 20:30:00,432,Norwich,Arsenal,0,1,8.7527,9.0692,10.4782,10.9940,13.2772,13.6444
2016-05-07 15:45:00,437,Norwich,Manchester United,0,1,9.0692,9.0001,10.994,11.1461,13.6444,13.6041
2016-05-11 22:45:00,448,Norwich,Watford,4,2,9.0001,9.4847,11.1461,11.2932,13.6041,13.9261
2016-05-15 18:00:00,453,Norwich,Everton,0,3,9.4847,8.9767,11.2932,11.0408,13.9261,13.9125
2019-08-09 20:00:00,11643,Norwich,Liverpool,1,4,8.9767,9.0746,11.0408,11.5407,13.9125,14.3585
2019-08-17 15:00:00,11657,Norwich,Newcastle United,3,1,9.0746,10.0939,11.5407,12.3538,14.3585,15.0840
2019-08-24 12:30:00,11664,Norwich,Chelsea,2,3,10.0939,9.9988,12.3538,12.3049,15.084,15.1927
2019-08-31 15:00:00,11674,Norwich,West Ham,0,2,9.9988,9.7158,12.3049,12.2622,15.1927,15.1695
2019-09-14 16:30:00,11689,Norwich,Manchester City,3,2,9.7158,10.4634,12.2622,12.6090,15.1695,16.0679
2019-09-21 14:00:00,11696,Norwich,Burnley,0,2,10.4634,10.1783,12.609,12.4260,16.0679,16.1807
2019-09-28 14:00:00,11709,Norwich,Crystal Palace,0,2,10.1783,9.5715,12.426,12.0460,16.1807,15.8471
2019-10-05 15:00:00,11717,Norwich,Aston Villa,1,5,9.5715,8.4436,12.046,11.4607,15.8471,15.1767
2019-10-19 15:00:00,11724,Norwich,Bournemouth,0,0,8.4436,8.9349,11.4607,11.8838,15.1767,15.7361
2019-10-27 16:30:00,11739,Norwich,Manchester United,1,3,8.9349,8.6537,11.8838,11.1976,15.7361,16.3599
2019-11-02 15:00:00,11746,Norwich,Brighton,0,2,8.6537,8.7398,11.1976,11.2337,16.3599,16.9960
2019-11-08 20:00:00,11757,Norwich,Watford,0,2,8.7398,8.4352,11.2337,11.2443,16.996,16.8762
2019-11-23 15:00:00,11768,Norwich,Everton,2,0,8.4352,9.4038,11.2443,11.9619,16.8762,17.5959
2019-12-01 14:00:00,11781,Norwich,Arsenal,2,2,9.4038,9.9186,11.9619,12.1889,17.5959,18.3984
2019-12-04 19:30:00,11790,Norwich,Southampton,1,2,9.9186,9.7360,12.1889,11.9799,18.3984,18.4922
2019-12-08 14:00:00,11799,Norwich,Sheffield United,1,2,9.736,9.5902,11.9799,12.0523,18.4922,18.3781
2019-12-14 15:00:00,11807,Norwich,Leicester,1,1,9.5902,10.2574,12.0523,12.7445,18.3781,19.0204
2019-12-21 15:00:00,11819,Norwich,Wolverhampton Wanderers,1,2,10.2574,10.1727,12.7445,12.8131,19.0204,19.0324
2019-12-26 15:00:00,11823,Norwich,Aston Villa,0,1,10.1727,9.9651,12.8131,13.0545,19.0324,18.6258
2019-12-28 17:30:00,11839,Norwich,Tottenham,2,2,9.9651,10.0264,13.0545,12.7273,18.6258,19.0756
2020-01-01 17:30:00,11850,Norwich,Crystal Palace,1,1,10.0264,9.9625,12.7273,12.7548,19.0756,18.9203
2020-01-11 15:00:00,11862,Norwich,Manchester United,0,4,9.9625,9.3603,12.7548,12.4379,18.9203,19.0327
2020-01-18 15:00:00,11869,Norwich,Bournemouth,1,0,9.3603,9.0811,12.4379,12.2092,19.0327,18.4529
2020-01-22 19:30:00,11880,Norwich,Tottenham,1,2,9.0811,9.2975,12.2092,12.4761,18.4529,18.8689
2020-02-01 15:00:00,11889,Norwich,Newcastle United,0,0,9.2975,9.5948,12.4761,13.1391,18.8689,18.8006
2020-02-15 17:30:00,11899,Norwich,Liverpool,0,1,9.5948,10.0008,13.1391,13.3726,18.8006,19.6291
2020-02-23 14:00:00,11912,Norwich,Wolverhampton Wanderers,0,3,10.0008,9.7759,13.3726,13.1753,19.6291,20.1266
2020-02-28 20:00:00,11919,Norwich,Leicester,1,0,9.7759,10.1023,13.1753,13.0432,20.1266,20.6616
2020-03-07 15:00:00,11929,Norwich,Sheffield United,0,1,10.1023,10.2469,13.0432,13.7833,20.6616,20.4608
2020-06-19 17:00:00,11937,Norwich,Southampton,0,3,10.2469,9.2868,13.7833,13.2692,20.4608,19.8047
2020-06-24 17:00:00,11948,Norwich,Everton,0,1,9.2868,8.7355,13.2692,12.8999,19.8047,19.3214
2020-07-01 17:00:00,11953,Norwich,Arsenal,0,4,8.7355,8.0919,12.8999,12.8535,19.3214,19.0805
2020-07-04 11:30:00,11969,Norwich,Brighton,0,1,8.0919,8.2815,12.8535,13.2036,19.0805,19.3596
2020-07-07 17:00:00,11981,Norwich,Watford,1,2,8.2815,8.5373,13.2036,13.8115,19.3596,19.5132
2020-07-11 11:30:00,11988,Norwich,West Ham,0,4,8.5373,8.0121,13.8115,13.4869,19.5132,19.7874
2020-07-14 19:15:00,11995,Norwich,Chelsea,0,1,8.0121,8.5958,13.4869,13.5736,19.7874,21.1181
2020-07-18 16:30:00,12008,Norwich,Burnley,0,2,8.5958,8.6554,13.5736,13.8216,21.1181,21.4894
2020-07-26 15:00:00,12017,Norwich,Manchester City,0,5,8.6554,8.6001,13.8216,14.3211,21.4894,22.1293
2021-08-14 16:30:00,16383,Norwich,Liverpool,0,3,8.6001,8.7420,14.3211,15.0995,22.1293,22.3847
2021-08-21 14:00:00,16387,Norwich,Manchester City,0,5,8.742,8.3767,15.0995,15.3806,22.3847,22.6229
2021-08-28 14:00:00,16398,Norwich,Leicester,1,2,8.3767,8.3707,15.3806,15.6664,22.6229,22.5751
2021-09-11 14:00:00,16407,Norwich,Arsenal,0,1,8.3707,8.6543,15.6664,15.6730,22.5751,23.3857
2021-09-18 14:00:00,16418,Norwich,Watford,1,3,8.6543,8.4394,15.673,15.5475,23.3857,23.5813
2021-09-25 14:00:00,16428,Norwich,Everton,0,2,8.4394,8.7418,15.5475,15.9834,23.5813,24.2502
2021-10-02 14:00:00,16437,Norwich,Burnley,0,0,8.7418,9.0130,15.9834,16.2768,24.2502,24.4992
2021-10-16 14:00:00,16453,Norwich,Brighton,0,0,9.013,9.3862,16.2768,16.6463,24.4992,24.8761
2021-10-23 11:30:00,16459,Norwich,Chelsea,0,7,9.3862,8.6818,16.6463,16.9825,24.8761,24.8811
2021-10-31 14:00:00,16472,Norwich,Leeds,1,2,8.6818,8.3959,16.9825,16.8199,24.8811,24.7218
2021-11-06 15:00:00,16477,Norwich,Brentford,2,1,8.3959,9.2737,16.8199,17.0391,24.7218,26.0082
