Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2018-08-25 16:30:00,10340,Nuernberg,Hertha Berlin,0,1,10,9.8750,10,10.2028,10,9.7972
2018-09-01 13:30:00,10347,Nuernberg,Mainz 05,1,1,9.875,9.8592,10.2028,10.4857,9.7972,9.4828
2018-09-16 13:30:00,10362,Nuernberg,Werder Bremen,1,1,9.8592,10.0863,10.4857,10.6663,9.4828,9.7564
2018-09-22 13:30:00,10369,Nuernberg,Hannover 96,2,0,10.0863,10.5224,10.6663,10.8755,9.7564,9.9194
2018-09-26 18:30:00,10378,Nuernberg,Borussia Dortmund,0,7,10.5224,9.1554,10.8755,10.7502,9.9194,9.0607
2018-09-29 13:30:00,10387,Nuernberg,Fortuna Duesseldorf,3,0,9.1554,9.8933,10.7502,11.0507,9.0607,9.4860
2018-10-07 16:00:00,10394,Nuernberg,RasenBallsport Leipzig,0,6,9.8933,8.9351,11.0507,10.8962,9.486,9.2240
2018-10-20 13:30:00,10408,Nuernberg,Hoffenheim,1,3,8.9351,8.4681,10.8962,10.5914,9.224,9.0947
2018-10-28 11:30:00,10417,Nuernberg,Eintracht Frankfurt,1,1,8.4681,8.8047,10.5914,10.9156,9.0947,9.4436
2018-11-03 14:30:00,10419,Nuernberg,Augsburg,2,2,8.8047,9.7291,10.9156,11.5300,9.4436,10.6779
2018-11-10 14:30:00,10435,Nuernberg,VfB Stuttgart,0,2,9.7291,8.9599,11.53,10.9821,10.6779,10.1874
2018-11-24 17:30:00,10437,Nuernberg,Schalke 04,2,5,8.9599,8.6316,10.9821,11.2855,10.1874,9.9774
2018-12-03 19:30:00,10453,Nuernberg,Bayer Leverkusen,1,1,8.6316,8.7301,11.2855,11.2046,9.9774,10.2553
2018-12-08 14:30:00,10454,Nuernberg,Bayern Munich,0,3,8.7301,8.3793,11.2046,10.9454,10.2553,10.5628
2018-12-14 19:30:00,10471,Nuernberg,Wolfsburg,0,2,8.3793,8.4991,10.9454,11.5404,10.5628,10.7074
2018-12-18 17:30:00,10479,Nuernberg,Borussia M.Gladbach,0,2,8.4991,8.8922,11.5404,11.8132,10.7074,11.7208
2018-12-22 14:30:00,10481,Nuernberg,Freiburg,0,1,8.8922,8.9809,11.8132,12.3570,11.7208,11.6044
2019-01-20 14:30:00,10495,Nuernberg,Hertha Berlin,1,3,8.9809,8.6671,12.357,12.2621,11.6044,11.5718
2019-01-26 14:30:00,10505,Nuernberg,Mainz 05,1,2,8.6671,8.8858,12.2621,12.2218,11.5718,12.2996
2019-02-02 14:30:00,10514,Nuernberg,Werder Bremen,1,1,8.8858,9.2023,12.2218,12.5358,12.2996,12.6187
2019-02-09 14:30:00,10522,Nuernberg,Hannover 96,0,2,9.2023,8.6975,12.5358,12.4191,12.6187,12.2257
2019-02-18 19:30:00,10533,Nuernberg,Borussia Dortmund,0,0,8.6975,9.0985,12.4191,12.7119,12.2257,12.7348
2019-02-23 17:30:00,10543,Nuernberg,Fortuna Duesseldorf,1,2,9.0985,9.3124,12.7119,12.8161,12.7348,13.3084
2019-03-02 14:30:00,10552,Nuernberg,RasenBallsport Leipzig,0,1,9.3124,9.4917,12.8161,13.2720,13.3084,13.4611
2019-03-10 14:30:00,10554,Nuernberg,Hoffenheim,1,2,9.4917,9.8061,13.272,13.3741,13.4611,14.2379
2019-03-17 14:30:00,10570,Nuernberg,Eintracht Frankfurt,0,1,9.8061,10.1557,13.3741,13.5020,14.2379,15.0592
2019-03-30 14:30:00,10575,Nuernberg,Augsburg,3,0,10.1557,10.7603,13.502,13.5819,15.0592,15.4386
2019-04-06 14:30:00,10583,Nuernberg,VfB Stuttgart,1,1,10.7603,10.9198,13.5819,13.9300,15.4386,15.4094
2019-04-12 19:30:00,10597,Nuernberg,Schalke 04,1,1,10.9198,10.2583,13.93,13.6449,15.4094,14.3714
2019-04-20 14:30:00,10599,Nuernberg,Bayer Leverkusen,0,2,10.2583,9.3189,13.6449,12.8891,14.3714,13.7485
2019-04-28 17:00:00,10615,Nuernberg,Bayern Munich,1,1,9.3189,10.1753,12.8891,13.8003,13.7485,14.5501
2019-05-04 14:30:00,10624,Nuernberg,Wolfsburg,0,2,10.1753,9.9948,13.8003,13.9659,14.5501,14.5235
2019-05-11 14:30:00,10633,Nuernberg,Borussia M.Gladbach,0,4,9.9948,8.7275,13.9659,13.4587,14.5235,13.4961
2019-05-18 13:30:00,10636,Nuernberg,Freiburg,1,5,8.7275,7.7221,13.4587,13.3649,13.4961,12.5791
