Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2016-08-19 22:45:00,1779,Osasuna,Malaga,1,1,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2016-08-27 20:15:00,1791,Osasuna,Real Sociedad,0,2,9.3826,10.6479,9.7787,8.0668,9.4866,15.7287
2016-09-10 18:00:00,1801,Osasuna,Real Madrid,2,5,9.3764,11.8639,9.8318,3.8693,10.1710,-0.8911
2016-09-18 14:00:00,1814,Osasuna,Celta Vigo,0,0,9.2187,9.4034,9.5681,9.8841,10.1193,10.1726
2016-09-22 22:00:00,1827,Osasuna,Espanyol,1,2,8.9072,9.7844,9.4249,15.0386,9.8896,14.7794
2016-09-25 20:30:00,1836,Osasuna,Villarreal,1,3,9.0008,10.6881,9.7204,7.8396,10.2814,10.0356
2016-10-01 20:30:00,1842,Osasuna,Las Palmas,2,2,9.1136,9.8392,9.7375,5.0091,10.4899,15.6690
2016-10-17 22:45:00,1858,Osasuna,Eibar,3,2,9.7996,9.6714,10.3239,12.0465,11.0254,15.5461
2016-10-21 22:45:00,1859,Osasuna,Real Betis,1,2,9.0800,9.1407,9.7778,7.9788,10.3823,16.8033
2016-10-30 19:15:00,3314,Osasuna,Athletic Club,1,1,9.5619,10.0259,9.9849,7.8490,11.1391,7.9534
2016-11-05 21:30:00,2779,Osasuna,Alaves,0,1,9.0140,9.4180,9.3981,9.8083,10.8800,10.0279
2016-11-21 23:45:00,2795,Osasuna,Leganes,0,2,8.5479,9.1158,9.0632,9.7833,10.7828,11.4481
2016-11-27 19:15:00,2802,Osasuna,Atletico Madrid,0,3,8.1395,10.8228,9.3222,8.9437,10.4570,8.4518
2016-12-04 21:30:00,3169,Osasuna,Sporting Gijon,1,3,8.1993,9.8188,9.8891,11.5743,10.5097,16.8131
2016-12-10 16:00:00,3174,Osasuna,Barcelona,0,3,8.0872,11.3630,9.7708,8.0242,11.1538,-33.0486
2016-12-18 21:30:00,3189,Osasuna,Deportivo La Coruna,0,2,8.4013,10.5295,10.4095,15.7088,11.6433,16.6017
2017-01-09 23:45:00,3893,Osasuna,Valencia,3,3,8.5856,9.4544,10.6823,3.1524,11.7392,8.7560
2017-01-15 21:30:00,3901,Osasuna,Granada,1,1,8.7479,8.5724,10.7199,15.6404,12.0261,22.2549
2017-01-22 14:00:00,3909,Osasuna,Sevilla,3,4,9.2683,11.8092,11.3518,13.4339,12.6851,-0.8151
2017-01-27 22:45:00,3914,Osasuna,Malaga,1,1,9.1712,9.4770,10.9910,9.3978,12.8517,11.0563
2017-02-05 17:30:00,3932,Osasuna,Real Sociedad,2,3,9.2228,9.8262,11.2880,7.3718,12.9080,13.5298
2017-02-11 19:45:00,3934,Osasuna,Real Madrid,1,3,9.2098,11.6836,11.4068,2.4782,13.2631,-7.1098
2017-02-19 17:30:00,3944,Osasuna,Celta Vigo,0,3,8.8540,10.6424,11.5922,9.0357,13.1161,11.9988
2017-02-26 11:00:00,3955,Osasuna,Espanyol,0,3,8.5610,10.4750,11.5669,14.0106,13.3054,15.9383
2017-03-01 18:30:00,3966,Osasuna,Villarreal,1,4,8.1143,10.7209,11.8495,5.6905,12.8794,9.2504
2017-03-05 17:30:00,3983,Osasuna,Las Palmas,2,5,7.9147,10.0156,12.3461,4.9739,12.7336,17.0576
2017-03-13 19:45:00,3990,Osasuna,Eibar,1,1,8.3326,9.6685,12.8397,12.1789,13.0759,14.4078
2017-03-18 19:45:00,3998,Osasuna,Real Betis,0,2,8.3409,9.8574,13.0391,9.3956,13.3930,18.0702
2017-04-01 15:15:00,4010,Osasuna,Athletic Club,1,2,8.4792,10.2558,13.2250,8.9994,13.7337,6.7630
2017-04-05 19:30:00,4020,Osasuna,Alaves,1,0,9.1739,9.0634,13.6592,11.2769,14.4390,8.8501
2017-04-09 17:30:00,4030,Osasuna,Leganes,2,1,9.4367,9.4622,13.7170,11.4474,14.6567,13.2269
2017-04-15 17:30:00,4037,Osasuna,Atletico Madrid,0,3,9.2977,11.5196,13.6415,7.6994,15.2042,6.5894
2017-04-22 17:30:00,4049,Osasuna,Sporting Gijon,2,2,9.1639,9.3962,13.1505,11.9287,15.4275,19.8640
2017-04-26 18:30:00,4055,Osasuna,Barcelona,1,7,8.3467,12.2122,12.9209,4.6042,15.5226,-39.4303
2017-04-30 11:00:00,4069,Osasuna,Deportivo La Coruna,2,2,8.3293,8.7946,12.8758,16.6212,15.5330,15.9693
2017-05-07 15:15:00,4078,Osasuna,Valencia,1,4,8.1088,10.1678,12.8620,4.1309,15.8558,9.2040
2017-05-13 17:30:00,4087,Osasuna,Granada,2,1,8.2399,8.0021,13.0755,14.9239,15.6545,28.5809
2017-05-20 20:00:00,4098,Osasuna,Sevilla,0,5,7.4589,10.3969,13.0359,13.5254,15.3821,-4.4816
2019-08-17 20:00:00,12027,Osasuna,Leganes,1,0,8.4641,8.9746,13.5212,13.8312,16.6573,15.1169
2019-08-24 16:00:00,12033,Osasuna,Eibar,0,0,8.7231,9.7410,13.8312,9.6900,16.8652,9.7921
2019-08-31 16:00:00,12043,Osasuna,Barcelona,2,2,9.1907,10.6261,14.6412,-6.8651,16.9905,-65.3833
2019-09-15 16:30:00,12062,Osasuna,Real Valladolid,1,1,9.5510,9.7718,15.4748,9.7560,16.8776,14.7877
2019-09-20 19:00:00,12067,Osasuna,Real Betis,0,0,9.4106,9.6296,15.8010,11.6068,16.2705,20.9034
2019-09-25 19:00:00,12078,Osasuna,Real Madrid,0,2,9.4326,10.9768,15.8549,-0.2677,16.7607,-31.2777
2019-09-29 16:30:00,12090,Osasuna,Levante,1,1,9.6036,9.4458,15.8273,7.9075,17.1304,32.4837
2019-10-05 20:00:00,12098,Osasuna,Villarreal,2,1,10.1682,10.7975,15.7962,4.1949,18.0408,6.8982
2019-10-18 20:00:00,12109,Osasuna,Granada,0,1,10.1155,10.5103,16.0680,15.9480,17.9137,31.3233
2019-10-27 20:00:00,12119,Osasuna,Valencia,3,1,10.5868,10.0294,16.6017,0.0349,17.8226,3.0225
2019-10-31 18:00:00,12129,Osasuna,Mallorca,2,2,10.4658,9.7237,16.1591,10.2418,18.0232,10.9555
2019-11-03 15:00:00,12138,Osasuna,Alaves,4,2,10.6702,9.5789,16.4682,7.2172,17.6229,19.4414
2019-11-10 17:30:00,12149,Osasuna,Getafe,0,0,10.7713,10.4733,16.3191,12.1630,17.9741,17.2837
2019-11-24 13:00:00,12159,Osasuna,Athletic Club,1,2,10.3758,11.0848,16.1873,10.9644,17.5649,6.4557
2019-12-01 15:00:00,12167,Osasuna,Espanyol,4,2,10.6945,8.8320,16.3758,12.8322,17.5139,21.0804
2019-12-08 20:00:00,12179,Osasuna,Sevilla,1,1,10.5577,10.7839,16.0374,20.8269,17.5786,-13.7593
2019-12-14 20:00:00,12185,Osasuna,Atletico Madrid,0,2,10.0712,10.5982,15.5417,3.9964,17.6013,-0.2997
2019-12-22 13:00:00,12199,Osasuna,Real Sociedad,3,4,9.8086,10.7832,15.7325,7.1413,17.1352,11.4241
2020-01-05 20:00:00,12205,Osasuna,Celta Vigo,1,1,9.7750,9.2077,15.4127,10.2174,17.3877,17.6971
2020-01-18 17:30:00,12220,Osasuna,Real Valladolid,0,0,9.6533,9.9100,15.5362,8.8828,17.0209,17.1870
2020-01-24 20:00:00,12228,Osasuna,Levante,2,0,10.0238,9.2648,15.7416,6.3502,17.0565,34.9297
2020-02-02 17:30:00,12241,Osasuna,Villarreal,1,3,9.7753,10.7783,15.7429,4.8275,17.0582,5.4774
2020-02-09 15:00:00,12246,Osasuna,Real Madrid,1,4,9.2734,11.7698,15.4744,-0.0352,17.0730,-35.9241
2020-02-16 17:30:00,12253,Osasuna,Athletic Club,1,0,9.7819,9.2988,15.7511,9.1553,17.5632,5.4432
2020-02-23 11:00:00,12270,Osasuna,Granada,0,3,8.9547,10.8004,15.4494,17.1233,16.9606,31.9782
2020-03-01 11:00:00,12281,Osasuna,Sevilla,2,3,9.3737,10.7116,16.1563,20.7469,17.3417,-15.0740
2020-03-08 11:00:00,12292,Osasuna,Espanyol,1,0,9.6438,9.6839,16.7045,14.2373,17.0837,22.6289
2020-06-14 20:00:00,12302,Osasuna,Real Sociedad,1,1,10.0584,10.3877,17.1812,6.3074,17.4362,10.7170
2020-06-17 20:00:00,12311,Osasuna,Atletico Madrid,0,5,8.8403,11.9043,16.8278,4.7665,16.6035,-0.2076
2020-06-21 17:30:00,12322,Osasuna,Valencia,0,2,8.5842,9.5719,16.9993,-1.8794,16.4197,4.0219
2020-06-24 17:30:00,12323,Osasuna,Alaves,1,0,8.9686,8.2374,17.3120,6.3937,16.6258,19.5822
2020-06-27 17:30:00,12340,Osasuna,Leganes,2,1,9.2714,9.3771,17.2168,17.2121,17.0766,17.7907
2020-07-02 17:30:00,12346,Osasuna,Eibar,2,0,10.1598,9.4366,17.6354,10.6596,17.9348,11.9642
2020-07-05 17:30:00,12359,Osasuna,Getafe,0,0,10.0486,10.3264,17.6178,10.9959,17.7301,16.1562
2020-07-08 18:30:00,12365,Osasuna,Real Betis,0,3,9.3119,10.3384,17.2017,12.7020,17.4227,22.4756
2020-07-11 15:00:00,12375,Osasuna,Celta Vigo,2,1,9.6170,9.7270,17.3243,9.2815,17.6602,19.1714
2020-07-16 19:00:00,12385,Osasuna,Barcelona,2,1,10.4319,10.5616,17.7699,-9.9503,18.5944,-72.6774
2020-07-19 19:00:00,12399,Osasuna,Mallorca,2,2,10.1795,10.1747,17.6210,10.2729,18.2385,16.5768
2020-09-12 19:00:00,14138,Osasuna,Cadiz,2,0,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2020-09-19 16:30:00,14145,Osasuna,Getafe,0,1,9.7374,9.7122,9.9333,10.8459,9.7915,16.0777
2020-09-27 10:00:00,14160,Osasuna,Levante,1,3,9.0785,10.2607,9.2069,6.9569,9.7001,36.3149
2020-10-04 10:00:00,14820,Osasuna,Celta Vigo,2,0,9.5894,9.1113,9.4081,10.1873,10.0208,18.2844
2020-10-18 10:00:00,14829,Osasuna,Eibar,0,0,9.6618,9.3066,9.7038,10.5050,9.8699,12.6088
2020-10-24 16:30:00,14840,Osasuna,Athletic Club,1,0,9.8039,9.5880,9.6984,8.7374,9.9094,6.9398
2020-10-31 17:30:00,14851,Osasuna,Atletico Madrid,1,3,9.5241,11.4645,9.5098,2.0915,10.0384,-3.4122
2020-11-07 17:30:00,14861,Osasuna,Sevilla,0,1,9.5221,10.0181,9.5948,19.4723,10.1994,-17.9362
2020-11-20 20:00:00,14872,Osasuna,SD Huesca,1,1,9.3674,9.5580,9.4578,13.6497,10.0270,13.2169
2020-11-29 13:00:00,14875,Osasuna,Barcelona,0,4,8.9455,11.6018,9.4477,-9.7996,10.1934,-74.4978
2020-12-06 15:15:00,14888,Osasuna,Real Betis,0,2,8.1508,9.0612,8.8642,12.7298,9.6874,23.1437
2020-12-11 20:00:00,14896,Osasuna,Real Valladolid,2,3,8.4882,9.6629,9.3157,8.7438,10.1606,19.5813
2020-12-19 17:30:00,14915,Osasuna,Villarreal,1,3,8.3433,10.5537,9.2036,5.0891,10.4830,2.0168
2020-12-22 16:30:00,14922,Osasuna,Elche,2,2,8.7620,9.0995,9.7326,8.7013,10.7915,16.4971
2020-12-31 15:15:00,14936,Osasuna,Alaves,1,1,9.0029,9.9848,9.7155,9.4995,11.2904,23.4711
2021-01-03 17:30:00,14944,Osasuna,Real Sociedad,1,1,9.5214,10.0585,10.1902,6.6615,11.8528,7.2045
2021-01-09 20:00:00,14954,Osasuna,Real Madrid,0,0,9.8821,11.1033,10.5925,-2.0509,12.1718,-42.7415
2021-01-12 18:00:00,14958,Osasuna,Granada,0,2,9.2992,9.6334,10.4579,15.3347,11.6406,31.9331
2021-01-21 18:00:00,14965,Osasuna,Valencia,1,1,9.5947,9.6857,11.0523,-3.2427,11.6372,7.1120
2021-01-24 13:00:00,14977,Osasuna,Granada,3,1,10.1220,9.6766,11.4017,15.0499,11.8424,32.8043
2021-02-01 20:00:00,14979,Osasuna,Real Betis,0,1,10.0313,10.3499,11.4240,14.0943,11.8887,23.8568
2021-02-07 17:30:00,14994,Osasuna,Eibar,2,1,10.1011,9.7407,11.6300,10.9101,11.5722,14.3219
2021-02-14 17:30:00,15004,Osasuna,Levante,1,0,10.5221,9.8642,11.5398,6.3426,12.2545,36.3862
2021-02-22 20:00:00,15013,Osasuna,Sevilla,0,2,10.0632,11.6453,11.4319,19.3134,11.9446,-18.7728
2021-02-27 17:30:00,15018,Osasuna,Alaves,1,0,10.0445,8.5073,11.2909,9.8104,11.7983,23.9554
2021-03-06 20:00:00,15033,Osasuna,Barcelona,0,2,9.8879,12.0746,11.4965,-9.6309,11.7794,-79.9706
2021-03-13 17:30:00,15045,Osasuna,Real Valladolid,0,0,9.7635,10.0148,11.2663,9.1308,11.7608,21.3982
2021-03-20 17:30:00,15053,Osasuna,SD Huesca,0,0,9.8512,9.5266,11.3141,14.0298,11.8884,15.2740
2021-04-03 16:30:00,15063,Osasuna,Getafe,0,0,9.7247,9.9716,11.1581,11.7368,11.7913,18.7051
2021-04-11 12:00:00,15077,Osasuna,Villarreal,2,1,10.3946,10.2344,11.4998,5.7610,12.5393,-0.2938
2021-04-18 12:00:00,15106,Osasuna,Elche,2,0,10.5850,9.4657,11.1483,8.5763,12.7716,21.6038
2021-04-21 17:00:00,15085,Osasuna,Valencia,3,1,10.8004,9.7313,11.4719,-1.9514,12.3789,7.4117
2021-04-25 16:30:00,15089,Osasuna,Celta Vigo,1,2,10.4498,10.2488,11.5751,12.7396,11.8246,18.7568
2021-05-01 19:00:00,15117,Osasuna,Real Madrid,0,2,10.2518,11.3556,11.4887,-3.0834,12.0149,-45.9544
2021-05-08 19:00:00,15119,Osasuna,Athletic Club,2,2,10.4666,10.3962,11.7446,8.4351,12.1886,6.3587
2021-05-11 17:00:00,15134,Osasuna,Cadiz,3,2,10.5543,10.2296,11.7324,9.8981,12.1261,15.0608
2021-05-16 16:30:00,15140,Osasuna,Atletico Madrid,1,2,10.5225,10.9588,11.3752,-1.8261,12.6697,-8.0054
2021-05-22 16:00:00,15153,Osasuna,Real Sociedad,0,1,10.1188,10.8116,10.8051,8.3328,12.6825,5.2891
2021-08-14 20:00:00,17137,Osasuna,Espanyol,0,0,9.6993,9.3603,10.3845,14.6550,12.2641,23.5641
2021-08-23 20:00:00,17155,Osasuna,Celta Vigo,0,0,9.7198,10.2608,11.0294,10.4742,11.6602,20.0460
2021-08-29 17:30:00,17163,Osasuna,Cadiz,3,2,10.1048,9.3746,11.3950,8.7756,11.8145,15.2234
2021-09-12 14:15:00,17172,Osasuna,Valencia,1,4,9.4250,11.5654,11.3483,-3.0653,11.2516,9.4438
2021-09-18 19:00:00,17176,Osasuna,Alaves,2,0,9.9298,8.4392,11.6209,11.1603,11.4885,25.2193
2021-09-23 17:30:00,17195,Osasuna,Real Betis,1,3,9.3237,10.6113,11.1691,14.9938,11.2280,21.2307
2021-09-26 12:00:00,17203,Osasuna,Mallorca,3,2,9.7252,9.0283,11.0441,10.0857,11.9060,15.9713
2021-10-02 12:00:00,17208,Osasuna,Rayo Vallecano,1,0,10.2022,10.6562,11.3983,14.8454,12.2558,23.2159
2021-10-17 16:30:00,17225,Osasuna,Villarreal,2,1,10.9702,11.0062,11.9773,3.8532,12.9628,0.6573
2021-10-22 19:00:00,17230,Osasuna,Granada,1,1,10.5946,10.3436,11.8042,15.0821,12.3848,37.6062
2021-10-27 19:30:00,17237,Osasuna,Real Madrid,0,0,10.9649,11.2055,12.1883,-6.1975,12.7413,-47.6405
2021-10-30 14:15:00,17249,Osasuna,Sevilla,0,2,10.4786,11.0060,11.7912,19.2520,12.6658,-23.4903
2021-11-07 17:30:00,17262,Osasuna,Real Sociedad,0,2,9.9375,11.3554,11.5159,7.6621,12.3589,4.7976
