Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-24 14:30:00,5454,Paderborn,Mainz 05,2,2,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-08-30 14:30:00,5459,Paderborn,Hamburger SV,3,0,10.8750,9.1250,10.4324,9.5676,10.5676,9.4324
2014-09-13 14:30:00,5416,Paderborn,FC Cologne,0,0,10.6875,10.8125,10.2301,10.4712,10.3949,10.6538
2014-09-20 14:30:00,5424,Paderborn,Hannover 96,2,0,10.9531,9.9844,10.3709,9.8098,10.2853,10.1590
2014-09-23 19:00:00,5430,Paderborn,Bayern Munich,0,4,9.8672,11.1953,9.5150,10.9520,9.9694,9.9386
2014-09-27 14:30:00,5443,Paderborn,Borussia M.Gladbach,1,2,9.6650,10.7607,9.5977,10.1336,9.7323,10.1380
2014-10-04 14:30:00,5387,Paderborn,Bayer Leverkusen,2,2,9.8630,9.7591,9.6768,10.5452,10.0492,8.9729
2014-10-19 16:30:00,5400,Paderborn,Eintracht Frankfurt,3,1,10.3245,9.7475,10.0926,9.6334,10.0564,10.1115
2014-10-25 14:30:00,5404,Paderborn,Hoffenheim,0,1,10.2079,10.4746,10.0184,9.7031,10.1473,10.2464
2014-11-02 16:30:00,5355,Paderborn,Hertha Berlin,3,1,10.5864,9.8434,10.1576,10.1466,10.2651,10.5402
2014-11-08 14:30:00,5357,Paderborn,Augsburg,0,3,9.8377,10.8405,9.9858,9.9890,9.6896,10.6919
2014-11-22 14:30:00,5370,Paderborn,Borussia Dortmund,2,2,9.7994,10.2228,9.6262,12.6155,9.9726,8.5803
2014-11-29 14:30:00,5379,Paderborn,Werder Bremen,0,4,8.7689,10.2078,8.6856,11.9508,9.8522,10.4649
2014-12-06 14:30:00,5316,Paderborn,Freiburg,1,1,8.6914,9.0363,8.7329,9.5470,9.6499,9.7761
2014-12-14 16:30:00,5329,Paderborn,Wolfsburg,1,1,9.4150,10.3621,8.8998,9.3438,10.9302,7.3807
2014-12-17 19:00:00,5338,Paderborn,Schalke 04,1,2,9.3466,10.7098,9.1476,7.9608,10.7956,11.4587
2014-12-20 14:30:00,5344,Paderborn,VfB Stuttgart,0,0,9.5702,9.5173,9.4115,11.0521,10.9789,10.9822
2015-01-31 14:30:00,5306,Paderborn,Mainz 05,0,5,8.4809,10.8023,9.0319,9.8193,10.4299,11.5351
2015-02-04 19:00:00,5268,Paderborn,Hamburger SV,0,3,7.7545,9.8019,8.7055,10.4370,10.0536,11.4162
2015-02-07 14:30:00,5272,Paderborn,FC Cologne,0,0,8.4245,9.2643,9.2611,9.1198,10.8379,10.4087
2015-02-15 16:30:00,5288,Paderborn,Hannover 96,2,1,9.1436,9.0819,9.7618,10.2847,11.5255,10.1292
2015-02-21 14:30:00,5294,Paderborn,Bayern Munich,0,6,8.3844,13.3660,9.8157,8.9737,11.4532,5.5081
2015-03-01 14:30:00,5231,Paderborn,Borussia M.Gladbach,0,2,8.3948,9.9155,10.1529,7.6154,11.6367,8.9659
2015-03-08 16:30:00,5241,Paderborn,Bayer Leverkusen,0,3,7.9720,10.6263,10.3741,11.0372,11.3199,7.9650
2015-03-14 14:30:00,5247,Paderborn,Eintracht Frankfurt,0,4,7.4298,9.8454,10.5589,10.1052,11.0507,10.0855
2015-03-21 14:30:00,5253,Paderborn,Hoffenheim,0,0,8.0224,9.7076,11.3526,9.8269,11.4422,9.5887
2015-04-05 16:30:00,5203,Paderborn,Hertha Berlin,0,2,8.1212,9.8187,11.6309,9.7555,11.8614,12.6320
2015-04-11 14:30:00,5209,Paderborn,Augsburg,2,1,8.5182,8.8122,12.2075,8.2226,11.8288,9.4018
2015-04-18 14:30:00,5217,Paderborn,Borussia Dortmund,0,3,8.3863,10.6225,12.0547,13.8151,12.4678,6.6800
2015-04-26 14:30:00,5229,Paderborn,Werder Bremen,2,2,8.5584,9.4028,12.4784,10.6704,12.3884,11.3850
2015-05-02 14:30:00,5164,Paderborn,Freiburg,2,1,9.2390,9.1001,12.8109,10.1064,13.1671,10.5941
2015-05-10 14:30:00,5175,Paderborn,Wolfsburg,1,3,8.8221,10.4884,12.7900,6.9536,12.8542,5.5237
2015-05-16 14:30:00,5177,Paderborn,Schalke 04,0,1,8.8961,9.5442,13.0683,6.9258,12.9740,10.9125
2015-05-23 14:30:00,5194,Paderborn,VfB Stuttgart,1,2,8.7845,10.0615,12.7343,14.4403,13.3349,10.1820
2019-08-17 14:30:00,12407,Paderborn,Bayer Leverkusen,2,3,9.5694,11.6393,13.4514,10.7089,14.4377,-4.6800
2019-08-24 14:30:00,12413,Paderborn,Freiburg,1,3,9.2495,11.1098,13.4884,14.2922,14.2610,23.4271
2019-08-31 14:30:00,12422,Paderborn,Wolfsburg,1,1,9.9883,10.9658,14.1012,8.6983,15.1257,8.4842
2019-09-15 16:00:00,12438,Paderborn,Schalke 04,1,5,8.9716,11.4381,13.9536,7.5818,14.2398,12.2949
2019-09-21 13:30:00,12440,Paderborn,Hertha Berlin,1,2,8.8178,9.0101,14.2765,9.5650,13.8592,12.2047
2019-09-28 13:30:00,12449,Paderborn,Bayern Munich,2,3,9.3316,11.8593,14.2423,-2.5700,15.1710,-54.7108
2019-10-05 14:30:00,12458,Paderborn,Mainz 05,1,2,8.9702,9.7475,13.8445,12.3115,15.0960,17.4331
2019-10-20 14:30:00,12467,Paderborn,FC Cologne,0,3,8.3960,9.7477,13.5599,11.9557,14.9823,18.5400
2019-10-26 14:30:00,12477,Paderborn,Fortuna Duesseldorf,2,0,9.1113,9.0420,13.6008,9.4184,15.8721,13.9155
2019-11-01 19:30:00,12489,Paderborn,Hoffenheim,0,3,8.9800,11.2174,13.8617,6.1547,16.0986,0.2789
2019-11-09 14:30:00,12499,Paderborn,Augsburg,0,1,8.7237,9.7110,13.8836,12.2733,15.8141,15.1491
2019-11-22 19:30:00,12502,Paderborn,Borussia Dortmund,3,3,9.2020,9.6584,14.4118,13.9317,16.2424,-31.8651
2019-11-30 14:30:00,12517,Paderborn,RasenBallsport Leipzig,2,3,9.5625,11.7835,14.9630,10.0369,16.6622,9.2799
2019-12-08 17:00:00,12525,Paderborn,Werder Bremen,1,0,10.1195,9.7334,15.4424,7.1986,17.0468,20.7690
2019-12-14 14:30:00,12537,Paderborn,Union Berlin,1,1,10.1519,10.7165,15.3702,9.3156,17.1837,11.3676
2019-12-18 19:30:00,12540,Paderborn,Borussia M.Gladbach,0,2,9.9489,11.0428,15.0946,4.0661,17.5532,2.2685
2019-12-22 17:00:00,12555,Paderborn,Eintracht Frankfurt,2,1,9.8891,9.2694,14.7900,12.5657,17.4882,11.4728
2020-01-19 17:00:00,12564,Paderborn,Bayer Leverkusen,1,4,9.1389,11.1384,14.5923,10.2974,16.9355,-6.2700
2020-01-25 14:30:00,12572,Paderborn,Freiburg,2,0,10.1037,9.5333,15.0075,10.3083,17.9499,24.7582
2020-02-02 17:00:00,12582,Paderborn,Wolfsburg,2,4,9.3141,10.2347,14.5618,10.7829,17.3163,6.1872
2020-02-08 14:30:00,12591,Paderborn,Schalke 04,1,1,9.6779,9.9054,14.8091,4.3504,17.7965,12.2108
2020-02-15 14:30:00,12599,Paderborn,Hertha Berlin,1,2,9.2059,9.7618,14.2905,9.9102,17.6211,14.6130
2020-02-21 19:30:00,12601,Paderborn,Bayern Munich,2,3,9.9686,11.9939,14.8601,-2.2385,18.8269,-61.2730
2020-02-29 14:30:00,12615,Paderborn,Mainz 05,0,2,9.4345,9.8665,14.6904,12.4906,18.4285,19.7421
2020-03-06 19:00:00,12627,Paderborn,FC Cologne,1,2,9.5743,11.3538,14.5583,13.4474,19.0901,19.5101
2020-05-16 13:30:00,12633,Paderborn,Fortuna Duesseldorf,0,0,9.6695,9.3598,14.5513,9.0918,19.2875,19.1277
2020-05-23 13:30:00,12637,Paderborn,Hoffenheim,1,1,9.1675,8.6634,13.8091,5.0459,19.0257,-0.7206
2020-05-27 18:30:00,12650,Paderborn,Augsburg,0,0,9.5721,9.8815,14.3858,12.0737,19.2583,16.4396
2020-05-31 16:00:00,12663,Paderborn,Borussia Dortmund,1,6,8.7784,12.6911,14.0031,12.5494,19.3037,-33.6671
2020-06-06 13:30:00,12665,Paderborn,RasenBallsport Leipzig,1,1,9.6526,10.9009,14.7175,10.0225,20.3377,2.0293
2020-06-13 13:30:00,12681,Paderborn,Werder Bremen,1,5,8.4063,10.4136,14.1810,9.2844,19.3815,25.5438
2020-06-16 18:30:00,12690,Paderborn,Union Berlin,0,1,8.4540,9.0494,14.1988,9.8281,19.7091,11.2713
2020-06-20 13:30:00,12699,Paderborn,Borussia M.Gladbach,1,3,8.5848,11.3463,14.3118,4.5722,20.3576,-0.1307
2020-06-27 13:30:00,12704,Paderborn,Eintracht Frankfurt,2,3,8.9215,10.0948,14.7788,13.9039,20.8139,11.5355
