Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-08 19:30:00,6185,Paris Saint Germain,Reims,2,2,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-08-16 16:00:00,6196,Paris Saint Germain,SC Bastia,2,0,10.3750,9.6250,10.2108,9.7892,10.0392,9.9608
2014-08-22 19:30:00,6205,Paris Saint Germain,Evian Thonon Gaillard,0,0,10.1875,9.3125,9.9623,10.1841,9.9127,9.4409
2014-08-31 20:00:00,6224,Paris Saint Germain,Saint-Etienne,5,0,11.3594,9.2031,10.1903,10.3829,10.7785,8.7733
2014-09-13 16:00:00,6146,Paris Saint Germain,Rennes,1,1,11.4180,11.0352,10.5511,9.6609,10.5349,11.1594
2014-09-21 20:00:00,6164,Paris Saint Germain,Lyon,1,1,10.8516,10.2188,10.2789,10.5336,9.6743,10.4039
2014-09-24 20:00:00,6173,Paris Saint Germain,Caen,2,0,11.1912,9.3704,10.4195,8.4843,9.7129,11.0064
2014-09-27 16:00:00,6176,Paris Saint Germain,Toulouse,1,1,11.1188,10.4740,10.3078,10.9932,9.6798,9.4549
2014-10-05 20:00:00,6123,Paris Saint Germain,Monaco,1,1,10.6722,10.2789,9.8472,10.2199,9.2471,10.8381
2014-10-17 19:30:00,6124,Paris Saint Germain,Lens,3,1,10.8699,8.7652,9.9037,9.3163,9.0860,9.2140
2014-10-25 16:00:00,6135,Paris Saint Germain,Bordeaux,3,0,11.1561,9.2286,9.8930,8.8169,8.9192,9.1403
2014-11-01 16:00:00,6076,Paris Saint Germain,Lorient,2,1,11.0513,9.3417,9.6764,10.0698,8.6762,10.3639
2014-11-09 20:00:00,6094,Paris Saint Germain,Marseille,2,0,11.5274,10.9795,10.1940,9.7123,8.6108,8.4969
