Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2018-08-19 21:30:00,9582,Parma Calcio 1913,Udinese,2,2,9.8750,10.1250,9.7649,10.2351,9.9851,10.0149
2018-08-26 19:00:00,9589,Parma Calcio 1913,SPAL 2013,0,1,9.8840,10.4020,9.7103,8.7303,10.3077,16.5735
2018-09-01 18:30:00,9599,Parma Calcio 1913,Juventus,1,2,9.8492,11.2796,9.8560,-6.3675,10.3424,-25.8209
2018-09-15 13:00:00,9611,Parma Calcio 1913,Inter,1,0,10.5636,10.4925,10.0484,8.0174,11.3288,-7.7830
2018-09-22 13:00:00,9623,Parma Calcio 1913,Cagliari,2,0,10.9665,10.2721,10.2816,15.6776,11.4013,22.8660
2018-09-26 19:00:00,9633,Parma Calcio 1913,Napoli,0,3,10.4027,11.7749,9.7742,9.2236,11.5310,-12.6738
2018-09-30 16:00:00,9645,Parma Calcio 1913,Empoli,1,0,10.3269,9.6753,9.2483,13.1911,11.6553,18.6591
2018-10-07 10:30:00,9650,Parma Calcio 1913,Genoa,3,1,10.7028,8.9545,9.0312,11.5249,12.1242,12.8839
2018-10-21 13:00:00,9662,Parma Calcio 1913,Lazio,0,2,10.0993,11.3921,8.2746,7.9278,12.1737,3.8563
2018-10-27 13:00:00,9667,Parma Calcio 1913,Atalanta,0,3,9.6531,11.2606,8.1763,15.7760,12.1295,1.9944
2018-11-04 14:00:00,9684,Parma Calcio 1913,Frosinone,0,0,9.5694,9.9022,8.1325,11.2290,12.0060,22.5750
2018-11-10 14:00:00,9695,Parma Calcio 1913,Torino,2,1,10.2918,10.2368,8.4210,7.6160,12.9124,9.8584
2018-11-25 11:30:00,9705,Parma Calcio 1913,Sassuolo,2,1,10.4267,10.1965,8.4794,11.0099,12.8738,16.3831
2018-12-02 11:30:00,9711,Parma Calcio 1913,AC Milan,1,2,10.3406,10.6682,8.6179,8.5190,12.8130,1.8175
2018-12-09 14:00:00,9721,Parma Calcio 1913,Chievo,1,1,10.0331,9.9179,8.3325,11.2187,12.4833,27.6160
2018-12-16 14:00:00,9735,Parma Calcio 1913,Sampdoria,0,2,9.7278,10.6171,8.2759,6.0453,12.4293,14.6878
2018-12-22 14:00:00,9740,Parma Calcio 1913,Bologna,0,0,9.5003,9.5453,8.1764,8.8247,12.0738,20.5169
2018-12-26 14:00:00,9750,Parma Calcio 1913,Fiorentina,1,0,10.1640,9.9913,8.3371,9.4375,12.9905,-2.9519
2018-12-29 14:00:00,9764,Parma Calcio 1913,Roma,0,2,9.7385,11.3877,8.1017,0.6624,12.8750,-17.8866
2019-01-19 17:00:00,9776,Parma Calcio 1913,Udinese,2,1,10.2287,9.7091,8.5778,9.6549,13.1293,11.7634
2019-01-27 14:00:00,9778,Parma Calcio 1913,SPAL 2013,2,3,9.6615,10.0272,8.4344,9.6398,12.3883,18.1646
2019-02-02 19:30:00,9794,Parma Calcio 1913,Juventus,3,3,10.3393,11.1949,8.8655,-7.6463,13.3128,-31.4614
2019-02-09 19:30:00,9803,Parma Calcio 1913,Inter,0,1,9.7522,10.0779,8.1702,6.4938,13.0838,-10.8385
2019-02-16 17:00:00,9808,Parma Calcio 1913,Cagliari,1,2,9.4420,9.3214,7.6583,15.2046,13.2252,24.1879
2019-02-24 17:00:00,9823,Parma Calcio 1913,Napoli,0,4,8.7372,11.8278,7.7122,7.8182,12.7618,-16.9131
2019-03-02 14:00:00,9832,Parma Calcio 1913,Empoli,3,3,9.1120,9.3618,7.9250,15.7975,13.2987,19.1752
2019-03-09 17:00:00,9843,Parma Calcio 1913,Genoa,1,0,9.4162,9.5247,8.2066,12.0329,13.3756,15.5156
2019-03-17 14:00:00,9851,Parma Calcio 1913,Lazio,1,4,9.1907,11.2396,8.3803,8.3042,13.5008,1.1758
2019-03-31 11:30:00,9863,Parma Calcio 1913,Atalanta,1,3,8.8920,10.7946,7.8565,15.4852,13.9272,-2.3964
