Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2016-08-21 22:45:00,935,Pescara,Napoli,2,2,,,,,,
2016-08-28 22:45:00,945,Pescara,Sassuolo,1,2,,,,,,
2016-09-11 22:45:00,958,Pescara,Inter,1,2,,,,,,
2016-09-17 20:00:00,961,Pescara,Lazio,0,3,,,,,,
2016-09-21 22:45:00,976,Pescara,Torino,0,0,,,,,,
2016-09-25 17:00:00,984,Pescara,Genoa,1,1,,,,,,
2016-10-01 20:00:00,990,Pescara,Chievo,0,2,,,,,,
2016-10-15 20:00:00,1001,Pescara,Sampdoria,1,1,,,,,,
2016-10-23 14:30:00,1012,Pescara,Udinese,1,3,,,,,,
2016-10-26 22:45:00,3287,Pescara,Atalanta,0,1,,,,,,
2016-10-30 18:00:00,3294,Pescara,AC Milan,0,1,,,,,,
2016-11-06 15:30:00,2748,Pescara,Empoli,0,4,,,,,,
2016-11-19 23:45:00,2758,Pescara,Juventus,0,3,,,,,,
2016-11-27 23:45:00,2773,Pescara,Roma,2,3,,,,,,
2016-12-04 18:00:00,3070,Pescara,Cagliari,1,1,,,,,,
2016-12-10 21:00:00,3076,Pescara,Crotone,1,2,,,,,,
2016-12-18 18:00:00,3093,Pescara,Bologna,0,3,,,,,,
2016-12-22 23:45:00,3099,Pescara,Palermo,1,1,,,,,,
2017-01-15 18:00:00,3535,Pescara,Napoli,1,3,,,,,,
2017-01-22 17:00:00,3545,Pescara,Sassuolo,1,3,,,,,,
2017-01-28 22:45:00,3551,Pescara,Inter,0,3,,,,,,
2017-02-01 22:45:00,3523,Pescara,Fiorentina,1,2,,,,,,
2017-02-05 14:00:00,3566,Pescara,Lazio,2,6,,,,,,
2017-02-12 14:00:00,3575,Pescara,Torino,3,5,,,,,,
2017-02-19 14:00:00,3586,Pescara,Genoa,5,0,,,,,,
2017-02-26 14:00:00,3597,Pescara,Chievo,0,2,,,,,,
2017-03-04 17:00:00,3610,Pescara,Sampdoria,1,3,,,,,,
2017-03-12 14:00:00,3621,Pescara,Udinese,1,3,,,,,,
2017-03-19 14:00:00,3630,Pescara,Atalanta,0,3,,,,,,
2017-04-02 14:00:00,3639,Pescara,AC Milan,1,1,,,,,,
2017-04-08 14:00:00,3648,Pescara,Empoli,1,1,,,,,,
2017-04-15 14:00:00,3657,Pescara,Juventus,0,2,,,,,,
2017-04-24 19:45:00,3670,Pescara,Roma,1,4,,,,,,
2017-04-30 14:00:00,3678,Pescara,Cagliari,0,1,,,,,,
2017-05-07 14:00:00,3685,Pescara,Crotone,0,1,,,,,,
2017-05-14 14:00:00,3699,Pescara,Bologna,1,3,,,,,,
2017-05-22 19:45:00,3708,Pescara,Palermo,2,0,,,,,,
2017-05-28 19:45:00,3719,Pescara,Fiorentina,2,2,,,,,,
