Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2016-08-28 19:30:00,1335,RasenBallsport Leipzig,Hoffenheim,2,2,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2016-09-10 20:30:00,1342,RasenBallsport Leipzig,Borussia Dortmund,1,0,10.3204,10.4613,10.1875,15.6211,10.2034,-8.4480
2016-09-17 17:30:00,1346,RasenBallsport Leipzig,Hamburger SV,4,0,11.3094,8.7874,10.7312,7.9394,10.6377,18.8854
2016-09-21 22:00:00,1358,RasenBallsport Leipzig,Borussia M.Gladbach,1,1,11.0514,11.0353,10.8138,4.1458,10.0390,6.4250
2016-09-25 19:45:00,1371,RasenBallsport Leipzig,FC Cologne,1,1,11.3413,11.4211,11.2169,10.3965,10.2157,13.1959
2016-09-30 22:30:00,1372,RasenBallsport Leipzig,Augsburg,2,1,10.9926,9.7954,10.8004,8.4415,9.6849,13.8985
2016-10-16 19:30:00,1389,RasenBallsport Leipzig,Wolfsburg,1,0,10.9291,9.3021,10.7710,9.2154,9.3373,2.1401
2016-10-23 17:30:00,1397,RasenBallsport Leipzig,Werder Bremen,3,1,11.0256,9.7186,10.9731,15.3068,8.8282,14.3808
2016-10-29 17:30:00,3304,RasenBallsport Leipzig,Darmstadt,2,0,11.2480,9.1927,11.0565,9.3739,8.6896,15.0118
2016-11-06 18:30:00,2813,RasenBallsport Leipzig,Mainz 05,3,1,11.2742,9.8265,11.2000,8.5287,8.0984,10.1236
2016-11-18 23:30:00,2815,RasenBallsport Leipzig,Bayer Leverkusen,3,2,11.2840,9.8038,10.7794,6.9212,8.2887,2.9372
2016-11-25 23:30:00,2824,RasenBallsport Leipzig,Freiburg,4,1,11.6113,8.7658,10.6622,10.6311,8.3105,11.4006
2016-12-03 21:30:00,3198,RasenBallsport Leipzig,Schalke 04,2,1,11.5730,10.9966,10.5628,8.1167,8.0834,11.8765
2016-12-10 18:30:00,3205,RasenBallsport Leipzig,Ingolstadt,0,1,10.8715,9.9685,10.3452,13.2355,7.1480,12.4516
2016-12-17 18:30:00,3213,RasenBallsport Leipzig,Hertha Berlin,2,0,11.1320,10.1529,10.4661,5.7743,7.0481,17.0311
2016-12-21 23:00:00,3227,RasenBallsport Leipzig,Bayern Munich,0,3,10.6339,12.1378,9.5215,4.3685,7.7466,-18.3434
2017-01-21 20:30:00,3728,RasenBallsport Leipzig,Eintracht Frankfurt,3,0,11.3674,10.3346,10.1152,7.9283,7.8700,17.2403
2017-01-28 17:30:00,3732,RasenBallsport Leipzig,Hoffenheim,2,1,11.5237,11.3362,10.1930,10.4825,7.8548,9.1903
2017-02-04 17:30:00,3746,RasenBallsport Leipzig,Borussia Dortmund,0,1,11.2631,11.2418,9.4183,16.7798,8.3583,-12.5454
2017-02-11 14:30:00,3752,RasenBallsport Leipzig,Hamburger SV,0,3,9.9789,10.9104,8.8628,9.9507,7.0953,23.6203
2017-02-19 14:30:00,3765,RasenBallsport Leipzig,Borussia M.Gladbach,2,1,10.6077,10.3651,9.0830,6.1420,7.8826,5.0880
2017-02-25 14:30:00,3769,RasenBallsport Leipzig,FC Cologne,3,1,10.9291,10.0719,8.9655,9.8083,8.1429,10.5854
