Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2014-08-25 21:00:00,5835,Rayo Vallecano,Atletico Madrid,0,0,10,9.8750,10,9.7389,10,10.0111
2014-08-31 20:00:00,5843,Rayo Vallecano,Deportivo La Coruna,2,2,9.875,10.0000,9.7389,9.9480,10.0111,10.0520
2014-09-14 11:00:00,5791,Rayo Vallecano,Elche,2,3,10.0,9.5000,9.948,9.9105,10.052,9.3395
2014-09-21 16:00:00,5802,Rayo Vallecano,Villarreal,2,4,9.5,9.1875,9.9105,9.3533,9.3395,9.7717
2014-09-24 19:00:00,5809,Rayo Vallecano,Athletic Club,2,1,9.1875,9.5156,9.3533,9.9609,9.7717,9.5704
2014-09-27 21:00:00,5821,Rayo Vallecano,Levante,2,0,9.5156,9.9062,9.9609,10.0405,9.5704,9.7721
2014-10-04 17:00:00,5756,Rayo Vallecano,Barcelona,0,2,9.9062,9.8086,10.0405,9.8272,9.7721,10.2901
2014-10-17 20:00:00,5764,Rayo Vallecano,Granada,1,0,9.8086,9.9492,9.8272,9.7277,10.2901,10.4209
2014-10-26 11:00:00,5780,Rayo Vallecano,Malaga,0,4,9.9492,9.0410,9.7277,8.9423,10.4209,10.3899
2014-11-03 19:45:00,5724,Rayo Vallecano,Eibar,2,3,9.041,8.6143,8.9423,8.4433,10.3899,10.2855
2014-11-08 19:00:00,5728,Rayo Vallecano,Real Madrid,1,5,8.6143,8.9080,8.4433,9.2738,10.2855,11.0424
2014-11-23 11:00:00,5740,Rayo Vallecano,Celta Vigo,1,0,8.908,9.7010,9.2738,9.8571,11.0424,11.7950
2014-12-01 19:45:00,5686,Rayo Vallecano,Almeria,1,0,9.701,10.0808,9.8571,10.1015,11.795,12.0602
2014-12-07 11:00:00,5691,Rayo Vallecano,Sevilla,0,1,10.0808,9.4885,10.1015,9.7166,12.0602,11.5104
2014-12-13 17:00:00,5699,Rayo Vallecano,Valencia,0,3,9.4885,8.7221,9.7166,9.0972,11.5104,11.3470
2014-12-20 21:00:00,5711,Rayo Vallecano,Espanyol,1,3,8.7221,7.9516,9.0972,8.6066,11.347,10.7967
2015-01-04 11:00:00,5647,Rayo Vallecano,Getafe,2,1,7.9516,8.6523,8.6066,9.5751,10.7967,10.9795
2015-01-12 19:45:00,5661,Rayo Vallecano,Cordoba,0,1,8.6523,8.5826,9.5751,10.0590,10.9795,10.6062
2015-01-17 15:00:00,5663,Rayo Vallecano,Real Sociedad,1,0,8.5826,9.3846,10.059,10.6463,10.6062,11.3730
2015-01-24 19:00:00,5674,Rayo Vallecano,Atletico Madrid,1,3,9.3846,9.6799,10.6463,11.2431,11.373,11.8668
