Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-25 19:00:00,5834,Real Madrid,Cordoba,2,0,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2014-08-31 20:00:00,5844,Real Madrid,Real Sociedad,2,4,9.6250,10.3750,10.0187,9.9813,9.7313,10.2687
2014-09-13 19:00:00,5789,Real Madrid,Atletico Madrid,1,2,9.3750,10.3750,10.1380,9.8848,9.3620,10.3652
2014-09-20 15:00:00,5797,Real Madrid,Deportivo La Coruna,8,2,11.2188,8.4062,10.5588,9.5601,11.1287,8.5024
2014-09-23 19:00:00,5806,Real Madrid,Elche,5,1,11.6602,9.0430,10.7160,9.5457,10.8543,9.7903
2014-09-27 15:00:00,5817,Real Madrid,Villarreal,2,0,11.9600,10.0595,10.5220,10.5646,11.1478,9.8046
2014-10-05 20:00:00,5763,Real Madrid,Athletic Club,5,0,12.4837,9.0310,10.5131,9.4242,10.9540,10.1379
2014-10-18 15:00:00,5765,Real Madrid,Levante,5,0,13.0415,8.6570,10.7678,9.5229,10.5648,11.2914
2014-10-25 17:00:00,5776,Real Madrid,Barcelona,3,1,13.2352,12.1227,10.6055,11.9672,10.6145,8.0282
2014-11-01 15:00:00,5716,Real Madrid,Granada,4,0,13.3126,8.9673,10.1252,9.8453,10.2496,11.0895
2014-11-08 19:00:00,5728,Real Madrid,Rayo Vallecano,5,1,13.0610,9.0578,9.3368,9.5594,9.5348,11.0559
2014-11-22 17:00:00,5737,Real Madrid,Eibar,4,0,13.3715,9.4926,9.6006,9.4215,8.8921,11.3136
2014-11-29 19:00:00,5748,Real Madrid,Malaga,2,1,12.9545,10.6203,9.6813,10.4543,7.7273,10.5364
2014-12-06 19:00:00,5689,Real Madrid,Celta Vigo,3,0,12.6809,9.6337,9.1682,9.3610,6.9432,10.1563
2014-12-12 19:45:00,5697,Real Madrid,Almeria,4,1,12.5205,8.6998,8.2373,9.7621,6.8034,10.6374
2015-01-04 16:00:00,5648,Real Madrid,Valencia,1,2,11.9519,11.3148,8.4001,7.9543,5.7534,10.4254
2015-01-10 15:00:00,5653,Real Madrid,Espanyol,3,0,11.9487,9.4421,7.9876,10.7854,5.4094,10.0983
2015-01-18 11:00:00,5667,Real Madrid,Getafe,3,0,12.1600,9.0825,7.9158,8.8771,5.1537,12.0375
2015-01-24 15:00:00,5672,Real Madrid,Cordoba,2,1,11.8985,9.8754,7.4940,10.9045,4.8025,11.8461
2015-01-31 15:00:00,5683,Real Madrid,Real Sociedad,4,1,11.9679,9.6069,7.5521,8.6274,4.1333,12.0862
2015-02-04 19:45:00,5607,Real Madrid,Sevilla,2,1,11.7371,10.7754,7.0623,11.2277,3.9115,7.5731
2015-02-07 15:00:00,5609,Real Madrid,Atletico Madrid,0,4,10.7296,12.2145,6.5117,10.3787,3.4471,7.3003
2015-02-14 17:00:00,5620,Real Madrid,Deportivo La Coruna,2,0,10.8658,9.6380,6.3626,12.2328,3.3685,10.7938
2015-02-22 20:00:00,5636,Real Madrid,Elche,2,0,11.1526,9.2262,6.6040,10.8443,3.2007,12.6079
2015-03-01 20:00:00,5569,Real Madrid,Villarreal,1,1,10.6899,10.2644,6.6693,9.9639,2.2100,7.0652
2015-03-07 17:00:00,5573,Real Madrid,Athletic Club,0,1,10.3760,10.2482,6.7379,10.6920,1.7636,11.5548
2015-03-15 20:00:00,5589,Real Madrid,Levante,2,0,10.4457,9.0850,6.7967,10.9800,1.3442,13.6903
2015-03-22 23:00:00,5600,Real Madrid,Barcelona,1,2,10.7316,11.8036,7.1834,10.3102,1.7794,-1.7030
2015-04-05 11:00:00,5510,Real Madrid,Granada,9,1,12.1667,7.5368,8.1205,10.8937,1.7125,12.6802
2015-04-08 21:00:00,5521,Real Madrid,Rayo Vallecano,2,0,12.2699,9.9764,7.9109,10.1915,1.6285,14.2611
2015-04-11 15:00:00,5525,Real Madrid,Eibar,3,0,12.1554,9.4264,7.7589,8.7241,0.8015,14.1288
2015-04-18 19:00:00,5538,Real Madrid,Malaga,3,1,11.9434,10.0194,7.5452,9.2152,0.0912,11.8235
2015-04-26 20:00:00,5553,Real Madrid,Celta Vigo,4,2,12.2731,10.4325,7.3740,12.8287,0.4218,8.2862
2015-04-29 19:00:00,5559,Real Madrid,Almeria,3,0,12.1099,9.2836,7.0801,10.8433,-0.3606,14.2237
2015-05-02 19:00:00,5468,Real Madrid,Sevilla,3,2,12.1546,10.7439,6.5818,9.5069,-0.0230,5.9811
2015-05-09 19:00:00,5478,Real Madrid,Valencia,2,2,11.6691,11.1979,6.3796,5.1259,-0.7919,8.0202
2015-05-17 18:00:00,5492,Real Madrid,Espanyol,4,1,12.1880,9.7260,6.3803,9.2695,-0.5047,10.9316
2015-05-23 19:30:00,5504,Real Madrid,Getafe,7,3,12.0206,8.1857,5.7517,10.8200,-1.2109,12.8009
2015-08-23 22:30:00,1405,Real Madrid,Sporting Gijon,0,0,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2015-08-30 00:30:00,1413,Real Madrid,Real Betis,5,0,11.1250,8.8750,10.4260,9.5740,10.5740,9.4260
2015-09-12 18:00:00,1420,Real Madrid,Espanyol,6,0,12.2881,8.1144,10.8162,8.7826,11.0100,10.1951
2015-09-19 18:00:00,1430,Real Madrid,Granada,1,0,11.6083,9.7486,10.2042,14.8862,10.0123,14.6112
2015-09-23 23:00:00,1445,Real Madrid,Athletic Club,2,1,11.5826,10.0310,10.3689,10.0532,9.5461,10.5098
2015-09-26 20:15:00,1451,Real Madrid,Malaga,0,0,10.9616,10.2194,10.3853,9.5659,8.2876,13.3729
2015-10-04 22:30:00,1468,Real Madrid,Atletico Madrid,1,1,11.0996,10.8758,10.1246,10.0348,8.8244,10.4668
2015-10-17 18:00:00,1469,Real Madrid,Levante,3,0,11.3203,9.2615,9.6083,12.3126,9.0320,16.2105
2015-10-24 18:00:00,1480,Real Madrid,Celta Vigo,3,1,11.8921,10.5355,9.7764,11.1232,9.5074,7.9482
2015-10-31 19:00:00,1490,Real Madrid,Las Palmas,3,1,11.5435,9.3461,9.4878,8.4489,8.5987,12.2435
2015-11-08 23:30:00,1508,Real Madrid,Sevilla,2,3,11.2881,11.2774,9.1982,12.0179,8.6276,3.7871
2015-11-21 21:15:00,1510,Real Madrid,Barcelona,0,4,10.2644,12.7170,8.6698,10.7462,8.1086,-11.0622
2015-11-29 19:00:00,1526,Real Madrid,Eibar,2,0,10.9166,9.7211,9.3244,9.1570,8.2585,15.0351
2015-12-05 19:00:00,1529,Real Madrid,Getafe,4,1,11.2547,9.4311,9.3188,11.9651,8.1904,16.1466
2015-12-13 23:30:00,1548,Real Madrid,Villarreal,0,1,10.6693,9.9986,9.1121,8.2969,7.4764,10.6999
2015-12-20 19:00:00,1553,Real Madrid,Rayo Vallecano,10,2,12.0574,7.3338,9.6961,9.1504,7.6687,15.7670
2015-12-30 19:00:00,1558,Real Madrid,Real Sociedad,3,1,11.7719,9.7010,9.6210,8.7110,6.6728,13.9406
2016-01-03 23:30:00,1576,Real Madrid,Valencia,2,2,11.5520,10.6124,9.0879,2.7845,6.7662,7.4403
2016-01-09 23:30:00,1581,Real Madrid,Deportivo La Coruna,5,0,12.4441,9.7285,9.3651,11.6578,7.0233,13.0502
2016-01-17 19:00:00,1593,Real Madrid,Sporting Gijon,5,1,12.4955,9.0982,9.0319,10.7540,6.4592,11.6925
2016-01-24 23:30:00,1606,Real Madrid,Real Betis,1,1,11.8583,10.0837,9.1784,9.8890,5.0382,14.0288
2016-01-31 23:30:00,1616,Real Madrid,Espanyol,6,0,12.7068,8.9036,8.8518,10.8469,5.5617,13.2097
2016-02-07 23:30:00,1626,Real Madrid,Granada,2,1,12.2352,9.7919,8.3615,14.8520,4.8588,18.9825
2016-02-13 19:00:00,1629,Real Madrid,Athletic Club,4,2,12.1275,10.4120,7.9009,11.2115,4.6039,8.8640
2016-02-21 19:00:00,1645,Real Madrid,Malaga,1,1,11.9396,11.0637,7.7322,11.2962,4.3968,12.5814
2016-02-27 19:00:00,1650,Real Madrid,Atletico Madrid,0,1,11.3226,11.5888,7.4375,9.6969,3.7076,7.4806
2016-03-03 00:00:00,1665,Real Madrid,Levante,3,1,11.4935,9.3354,7.3498,13.2007,3.6372,19.7201
2016-03-05 19:00:00,1669,Real Madrid,Celta Vigo,7,1,12.4426,8.8407,7.0149,12.2344,4.3702,7.9474
2016-03-13 23:30:00,1687,Real Madrid,Las Palmas,2,1,12.4354,10.9212,6.6484,8.4503,4.4724,15.8920
2016-03-20 23:30:00,1698,Real Madrid,Sevilla,4,0,12.8179,10.0830,6.7918,11.1787,4.0941,0.4873
2016-04-02 22:30:00,1702,Real Madrid,Barcelona,2,1,13.1001,12.1643,6.9947,8.5028,4.2055,-20.9243
2016-04-09 18:00:00,1710,Real Madrid,Eibar,4,0,12.9724,9.2172,6.1756,10.5656,3.7693,14.6185
2016-04-16 18:00:00,1720,Real Madrid,Getafe,5,1,12.9502,8.4058,5.6619,12.8481,3.2386,19.2128
2016-04-21 00:00:00,1736,Real Madrid,Villarreal,3,0,12.8369,10.1104,5.1818,6.9567,2.7421,10.5134
2016-04-23 18:00:00,1740,Real Madrid,Rayo Vallecano,3,2,12.4680,10.2302,4.8332,12.0546,2.1029,19.1555
2016-04-30 18:00:00,1750,Real Madrid,Real Sociedad,1,0,12.1525,10.0216,4.5406,8.3243,1.5145,14.4688
2016-05-08 19:00:00,1765,Real Madrid,Valencia,3,2,11.7119,10.3306,3.9001,2.0679,1.0238,9.3429
2016-05-14 19:00:00,1770,Real Madrid,Deportivo La Coruna,2,0,11.7003,9.1770,3.7031,13.7859,0.6976,14.5695
2016-08-21 22:15:00,1785,Real Madrid,Real Sociedad,3,0,12.3103,10.0305,4.1800,7.8455,0.6908,15.2153
2016-08-27 22:15:00,1793,Real Madrid,Celta Vigo,2,1,11.8577,10.4526,3.9224,10.2576,-0.2067,10.8975
2016-09-10 18:00:00,1801,Real Madrid,Osasuna,5,2,11.8639,9.3764,3.8693,9.8318,-0.8911,10.1710
2016-09-18 22:45:00,1817,Real Madrid,Espanyol,2,0,11.9002,9.4729,3.5079,14.8954,-0.9571,14.5497
2016-09-21 22:00:00,1821,Real Madrid,Villarreal,1,1,11.3607,10.7817,3.0463,8.1351,-1.5745,10.4274
2016-09-24 22:45:00,1833,Real Madrid,Las Palmas,2,2,11.0578,9.9520,3.1025,5.0262,-2.2365,15.8775
2016-10-02 18:15:00,1845,Real Madrid,Eibar,1,1,10.6576,10.3574,3.0096,12.6329,-2.9439,16.0816
2016-10-15 22:45:00,1853,Real Madrid,Real Betis,6,1,11.7454,8.4211,3.6173,7.4327,-2.6259,16.1602
