Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-24 18:00:00,5830,Real Sociedad,Eibar,0,1,9.8750,10.1250,10.2525,9.7475,9.7475,10.2525
2014-08-31 20:00:00,5844,Real Sociedad,Real Madrid,4,2,10.3750,9.8750,10.3588,9.8273,10.1412,9.9227
2014-09-13 21:00:00,5790,Real Sociedad,Celta Vigo,2,2,10.4844,10.2031,10.0797,10.5386,10.6390,9.3677
2014-09-21 11:00:00,5801,Real Sociedad,Almeria,1,2,9.8789,10.1680,9.9933,10.1103,9.7645,10.2256
2014-09-24 21:00:00,5811,Real Sociedad,Sevilla,0,1,10.0342,10.8447,9.9549,10.6172,10.3634,9.5723
2014-09-28 18:00:00,5824,Real Sociedad,Valencia,1,1,10.2823,11.2783,10.2550,9.6360,10.5594,10.1705
2014-10-05 18:00:00,5762,Real Sociedad,Espanyol,0,2,9.7561,10.2037,10.0006,10.7367,10.2614,9.4208
2014-10-20 19:45:00,5773,Real Sociedad,Getafe,1,2,9.2055,9.6042,9.7240,9.8788,9.6868,10.8297
2014-10-25 21:00:00,5778,Real Sociedad,Cordoba,1,1,9.2761,8.9172,9.5117,9.6963,10.0403,10.1381
2014-11-01 21:00:00,5719,Real Sociedad,Malaga,0,1,9.2662,10.7465,9.4131,10.8127,10.3691,9.6801
2014-11-09 20:00:00,5734,Real Sociedad,Atletico Madrid,2,1,9.8316,10.4624,9.8039,11.2013,10.8591,7.4738
2014-11-22 21:00:00,5739,Real Sociedad,Deportivo La Coruna,0,0,9.8897,9.5060,9.9114,10.2410,10.8679,11.0209
2014-11-28 19:45:00,5745,Real Sociedad,Elche,3,0,10.3728,8.8389,9.7891,10.2097,11.2063,11.2180
2014-12-07 18:00:00,5693,Real Sociedad,Villarreal,0,4,9.5273,11.3364,9.5863,11.8122,10.7182,8.6109
2014-12-14 20:00:00,5705,Real Sociedad,Athletic Club,1,1,9.4854,9.9014,9.7780,9.9274,10.4426,10.6250
2014-12-20 17:00:00,5709,Real Sociedad,Levante,1,1,9.6257,9.4065,9.6532,10.5787,10.8481,12.7344
2015-01-04 20:00:00,5650,Real Sociedad,Barcelona,1,0,10.3715,11.3631,10.0830,10.8909,11.6599,3.5854
2015-01-11 18:00:00,5659,Real Sociedad,Granada,1,1,10.0354,8.8633,9.3741,11.1361,11.6967,11.0903
2015-01-17 15:00:00,5663,Real Sociedad,Rayo Vallecano,0,1,9.3476,9.4721,8.9011,10.7335,11.0442,11.4603
2015-01-24 21:00:00,5675,Real Sociedad,Eibar,1,0,9.6748,9.8293,9.0617,7.6047,11.2880,12.5542
2015-01-31 15:00:00,5683,Real Sociedad,Real Madrid,1,4,9.6087,11.9765,9.0070,7.1195,11.9605,4.0835
2015-02-07 21:00:00,5612,Real Sociedad,Celta Vigo,1,1,9.4697,9.6916,8.9697,10.5899,11.7197,9.5434
2015-02-13 19:45:00,5618,Real Sociedad,Almeria,2,2,9.6533,9.5205,9.1002,10.9489,11.9564,11.5919
2015-02-22 11:00:00,5633,Real Sociedad,Sevilla,4,3,10.0137,10.2345,9.1219,10.2409,12.4055,7.2279
2015-03-01 11:00:00,5566,Real Sociedad,Valencia,0,2,9.7898,10.8419,9.1561,6.4580,12.4234,9.2258
2015-03-08 16:00:00,5577,Real Sociedad,Espanyol,1,0,9.9541,9.7826,9.1440,9.7894,12.5140,11.0261
2015-03-16 19:45:00,5590,Real Sociedad,Getafe,1,0,10.3819,9.7377,9.1356,10.5023,13.1281,12.2236
2015-03-22 18:00:00,5599,Real Sociedad,Cordoba,3,1,10.3657,8.8331,8.8248,11.7970,12.9064,12.3694
2015-04-04 21:00:00,5509,Real Sociedad,Malaga,1,1,10.3582,9.8432,8.4399,9.1364,13.2763,10.5498
2015-04-07 19:00:00,5515,Real Sociedad,Atletico Madrid,0,2,10.1522,11.2402,8.5135,8.9444,13.2907,5.0362
2015-04-12 18:00:00,5532,Real Sociedad,Deportivo La Coruna,2,2,9.7515,9.4499,7.9889,12.8207,13.0138,11.5789
2015-04-20 19:45:00,5544,Real Sociedad,Elche,0,1,9.5689,9.7036,7.9574,11.8633,12.9300,14.2943
2015-04-25 21:00:00,5549,Real Sociedad,Villarreal,0,0,9.3607,9.4441,7.4324,10.4065,13.0385,4.9820
2015-04-28 21:00:00,5556,Real Sociedad,Athletic Club,1,1,9.8595,10.3571,7.7041,11.2886,13.7644,10.4252
2015-05-01 19:45:00,5465,Real Sociedad,Levante,3,0,10.4752,9.2065,7.7341,11.0585,14.2157,15.1043
