Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2018-08-17 21:15:00,9957,Real Valladolid,Girona,0,0,10.1250,9.8750,9.9761,10.0239,10.2739,9.7261
2018-08-25 23:15:00,9971,Real Valladolid,Barcelona,0,1,10.1972,11.8417,10.1250,-2.1778,10.5194,-55.3879
2018-08-31 21:00:00,9977,Real Valladolid,Getafe,0,0,10.3481,10.1499,10.2795,15.2310,10.6667,18.0683
2018-09-16 16:30:00,9994,Real Valladolid,Alaves,0,1,9.9852,10.7594,10.2305,7.5456,10.2399,17.2235
2018-09-22 14:15:00,10005,Real Valladolid,Celta Vigo,3,3,10.2383,10.2444,10.4912,9.3356,10.4854,14.9032
2018-09-27 18:00:00,10009,Real Valladolid,Levante,2,1,10.0326,9.1214,10.0740,11.7607,10.2413,27.4819
2018-09-30 14:15:00,10026,Real Valladolid,Villarreal,1,0,10.6615,10.4192,9.9379,3.5480,11.3851,7.2906
2018-10-07 10:00:00,10036,Real Valladolid,SD Huesca,1,0,10.4045,9.3905,9.4627,10.8480,11.0963,10.6831
2018-10-21 18:45:00,10045,Real Valladolid,Real Betis,1,0,10.8452,10.2268,9.5737,11.9930,11.6168,19.4606
2018-10-26 19:00:00,10049,Real Valladolid,Espanyol,1,1,10.7905,11.1810,9.7022,12.7915,11.3789,19.3211
2018-11-03 15:15:00,10065,Real Valladolid,Real Madrid,0,2,10.1014,10.2231,9.3070,0.1879,10.8959,-27.9923
2018-11-10 12:00:00,10068,Real Valladolid,Eibar,0,0,9.8791,9.9345,8.8819,11.1419,10.8764,10.2268
2018-11-25 15:15:00,10081,Real Valladolid,Sevilla,0,1,9.9937,10.7230,9.0289,17.2796,11.2086,-8.0828
2018-12-01 15:15:00,10096,Real Valladolid,Leganes,2,4,9.4940,10.9947,9.0752,15.1225,10.6630,16.8668
2018-12-09 17:30:00,10102,Real Valladolid,Real Sociedad,2,1,10.1484,9.9573,9.3715,6.8049,11.4256,12.3606
2018-12-15 15:15:00,10111,Real Valladolid,Atletico Madrid,2,3,10.0778,11.4366,9.2379,4.0477,11.6680,6.8256
2018-12-22 19:45:00,10119,Real Valladolid,Athletic Club,1,1,10.1702,9.8550,9.1921,12.0795,11.8986,5.6286
2019-01-05 12:00:00,10136,Real Valladolid,Rayo Vallecano,0,1,9.7201,10.3197,9.1833,14.5487,11.2571,20.3407
2019-01-12 15:15:00,10142,Real Valladolid,Valencia,1,1,9.9396,9.8785,8.5383,2.4988,12.3411,3.7581
2019-01-20 17:30:00,10156,Real Valladolid,Levante,0,2,9.5331,10.2200,8.6489,9.9908,11.9174,31.1990
