Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-08 19:30:00,6185,Reims,Paris Saint Germain,2,2,,,,,,
2014-08-17 16:00:00,6203,Reims,Saint-Etienne,1,3,,,,,,
2014-08-23 19:00:00,6209,Reims,Caen,0,2,,,,,,
2014-08-30 19:00:00,6220,Reims,Lens,2,4,,,,,,
2014-09-13 19:00:00,6148,Reims,Toulouse,2,0,,,,,,
2014-09-20 19:00:00,6157,Reims,Lorient,1,0,,,,,,
2014-09-23 18:00:00,6165,Reims,Marseille,0,5,,,,,,
2014-09-27 19:00:00,6178,Reims,Metz,0,3,,,,,,
2014-10-03 19:30:00,6114,Reims,Bordeaux,1,0,,,,,,
2014-10-18 19:00:00,6129,Reims,Nantes,1,1,,,,,,
2014-10-25 19:00:00,6136,Reims,Montpellier,1,0,,,,,,
2014-10-31 19:30:00,6144,Reims,Monaco,1,1,,,,,,
2014-11-09 16:00:00,6092,Reims,Lille,2,0,,,,,,
2014-11-22 19:00:00,6099,Reims,Nice,0,0,,,,,,
2014-11-29 19:00:00,6106,Reims,SC Bastia,2,1,,,,,,
2014-12-04 20:00:00,6045,Reims,Lyon,1,2,,,,,,
2014-12-07 16:00:00,6054,Reims,Guingamp,2,3,,,,,,
2014-12-13 19:00:00,6059,Reims,Evian Thonon Gaillard,3,2,,,,,,
2014-12-20 19:00:00,6072,Reims,Rennes,3,1,,,,,,
2015-01-10 19:00:00,6005,Reims,Saint-Etienne,1,2,,,,,,
2015-01-17 19:00:00,6013,Reims,Caen,1,4,,,,,,
2015-01-25 16:00:00,6027,Reims,Lens,0,0,,,,,,
2015-01-31 19:00:00,6033,Reims,Toulouse,0,1,,,,,,
2015-02-07 19:00:00,5965,Reims,Lorient,1,3,,,,,,
2015-02-13 19:30:00,5973,Reims,Marseille,2,2,,,,,,
2015-02-22 16:00:00,5988,Reims,Metz,0,0,,,,,,
2015-02-28 19:00:00,5994,Reims,Bordeaux,1,1,,,,,,
2015-03-07 19:00:00,5932,Reims,Nantes,3,1,,,,,,
2015-03-14 19:00:00,5944,Reims,Montpellier,1,3,,,,,,
2015-03-22 16:00:00,5958,Reims,Monaco,1,3,,,,,,
2015-04-04 19:00:00,5887,Reims,Lille,1,3,,,,,,
2015-04-12 16:00:00,5900,Reims,Nice,0,1,,,,,,
2015-04-18 19:00:00,5911,Reims,SC Bastia,2,1,,,,,,
2015-04-26 20:00:00,5924,Reims,Lyon,2,4,,,,,,
2015-05-02 19:00:00,5848,Reims,Guingamp,0,2,,,,,,
2015-05-09 19:00:00,5857,Reims,Evian Thonon Gaillard,3,2,,,,,,
2015-05-16 20:00:00,5874,Reims,Rennes,1,0,,,,,,
2015-05-23 20:00:00,5878,Reims,Paris Saint Germain,2,3,,,,,,
2015-08-09 19:00:00,1877,Reims,Bordeaux,2,1,,,,,,
2015-08-16 16:00:00,1886,Reims,Marseille,1,0,,,,,,
2015-08-22 22:00:00,1891,Reims,Nantes,0,1,,,,,,
2015-08-29 22:00:00,1904,Reims,Lorient,4,1,,,,,,
2015-09-12 22:00:00,1913,Reims,Toulouse,2,2,,,,,,
2015-09-19 19:30:00,1920,Reims,Paris Saint Germain,1,1,,,,,,
2015-09-22 21:00:00,1929,Reims,Angers,0,0,,,,,,
2015-09-25 22:30:00,1938,Reims,Lille,1,0,,,,,,
2015-10-03 19:30:00,1950,Reims,Lyon,0,1,,,,,,
2015-10-17 22:00:00,1961,Reims,Caen,0,1,,,,,,
2015-10-25 17:00:00,1974,Reims,Monaco,0,1,,,,,,
2015-10-31 20:00:00,1979,Reims,Saint-Etienne,0,3,,,,,,
2015-11-07 23:00:00,1995,Reims,GFC Ajaccio,1,2,,,,,,
2015-11-21 23:00:00,2002,Reims,Montpellier,1,3,,,,,,
2015-11-28 23:00:00,2014,Reims,Rennes,2,2,,,,,,
2015-12-02 22:00:00,2026,Reims,Guingamp,2,1,,,,,,
2015-12-05 23:00:00,2031,Reims,Troyes,1,1,,,,,,
2015-12-12 19:00:00,2040,Reims,Nice,1,1,,,,,,
2015-12-19 23:00:00,2051,Reims,SC Bastia,0,2,,,,,,
2016-01-09 23:00:00,2062,Reims,Toulouse,1,3,,,,,,
2016-01-16 23:00:00,2072,Reims,GFC Ajaccio,2,2,,,,,,
2016-01-24 20:00:00,2087,Reims,Saint-Etienne,1,1,,,,,,
2016-01-30 23:00:00,2092,Reims,Lorient,0,2,,,,,,
2016-02-03 22:00:00,2106,Reims,Angers,2,1,,,,,,
2016-02-06 23:00:00,2114,Reims,Caen,2,0,,,,,,
2016-02-13 23:00:00,2121,Reims,SC Bastia,0,1,,,,,,
2016-02-20 20:00:00,2130,Reims,Paris Saint Germain,1,4,,,,,,
2016-02-27 23:00:00,2140,Reims,Bordeaux,4,1,,,,,,
2016-03-05 23:00:00,2152,Reims,Lille,0,2,,,,,,
2016-03-11 23:30:00,2159,Reims,Monaco,2,2,,,,,,
2016-03-19 23:00:00,2174,Reims,Guingamp,0,1,,,,,,
2016-04-02 22:00:00,2184,Reims,Rennes,1,3,,,,,,
2016-04-09 22:00:00,2194,Reims,Nantes,2,1,,,,,,
2016-04-16 22:00:00,2205,Reims,Troyes,1,2,,,,,,
2016-04-22 22:30:00,2209,Reims,Nice,0,2,,,,,,
2016-04-30 21:00:00,2223,Reims,Montpellier,2,3,,,,,,
2016-05-07 23:00:00,2229,Reims,Marseille,0,1,,,,,,
2016-05-14 23:00:00,2246,Reims,Lyon,4,1,,,,,,
2018-08-11 21:00:00,10645,Reims,Nice,1,0,,,,,,
2018-08-17 21:45:00,10653,Reims,Lyon,1,0,,,,,,
2018-08-25 21:00:00,10669,Reims,Amiens,1,4,,,,,,
