Dátum,Meccs-Id,Hazai-Id,Hazai-Csapat,Ellenfél-Id,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-XG,Ellenfél-XG
2014-08-01 17:00:00,6417,183,Spartak Moscow,186,Rubin Kazan,4,0,,,2.19129,1.19659
2014-08-10 10:30:00,6430,183,Spartak Moscow,190,Dinamo Moscow,2,1,,,1.2314,0.470186
2014-08-14 18:00:00,6439,183,Spartak Moscow,196,FC Krasnodar,0,4,,,0.253954,3.24782
2014-08-17 10:30:00,6443,183,Spartak Moscow,185,CSKA Moscow,1,0,,,1.1632,0.880551
2014-08-23 11:00:00,6450,183,Spartak Moscow,184,FC Ufa,2,1,,,2.35689,0.395761
2014-08-30 14:00:00,6459,183,Spartak Moscow,195,Amkar,0,2,,,0.848683,1.4545
2014-09-14 10:30:00,6397,183,Spartak Moscow,211,Torpedo Moscow,3,1,,,2.58205,0.696589
2014-09-20 17:00:00,6405,183,Spartak Moscow,188,FK Akhmat,1,1,,,0.903857,0.691701
2014-09-27 15:30:00,6411,183,Spartak Moscow,189,Zenit St. Petersburg,0,0,,,0.740547,0.536108
2014-10-19 10:30:00,6380,183,Spartak Moscow,198,Ural,0,2,,,0.424541,1.39345
2014-10-26 10:30:00,6387,183,Spartak Moscow,192,Lokomotiv Moscow,1,1,,,0.73552,0.585647
2014-11-02 16:00:00,6349,183,Spartak Moscow,197,Kuban Krasnodar,3,3,,,1.92836,3.01416
2014-11-09 15:00:00,6360,183,Spartak Moscow,200,Arsenal Tula,2,0,,,2.4349,0.82697
2014-11-23 15:30:00,6367,183,Spartak Moscow,191,Mordovya,4,2,,,2.16596,1.54142
2014-11-30 10:30:00,6374,183,Spartak Moscow,192,Lokomotiv Moscow,0,1,,,0.66282,0.730688
2014-12-04 16:45:00,6337,183,Spartak Moscow,187,FC Rostov,1,1,,,1.12797,0.474871
2014-12-08 17:00:00,6345,183,Spartak Moscow,198,Ural,2,0,,,1.70585,0.500514
2015-03-08 10:30:00,6308,183,Spartak Moscow,196,FC Krasnodar,1,3,,,1.29783,1.82727
2015-03-15 10:30:00,6318,183,Spartak Moscow,190,Dinamo Moscow,1,0,,,1.44958,0.716368
2015-03-21 16:00:00,6326,183,Spartak Moscow,211,Torpedo Moscow,1,0,,,0.715619,0.435475
2015-04-04 17:00:00,6268,183,Spartak Moscow,197,Kuban Krasnodar,1,1,,,0.920725,1.55618
2015-04-09 15:45:00,6279,183,Spartak Moscow,200,Arsenal Tula,0,1,,,1.59016,0.769816
2015-04-13 17:30:00,6288,183,Spartak Moscow,187,FC Rostov,1,2,,,0.856854,1.78119
2015-04-18 14:00:00,6290,183,Spartak Moscow,191,Mordovya,3,1,,,2.81477,0.832057
2015-04-26 11:30:00,6302,183,Spartak Moscow,186,Rubin Kazan,1,0,,,1.43082,0.245889
2015-05-02 11:30:00,6225,183,Spartak Moscow,189,Zenit St. Petersburg,1,1,,,0.315036,0.691224
2015-05-11 11:30:00,6238,183,Spartak Moscow,188,FK Akhmat,2,4,,,1.40606,1.35535
2015-05-17 11:30:00,6245,183,Spartak Moscow,185,CSKA Moscow,0,4,,,0.825789,2.45526
2015-05-23 16:00:00,6251,183,Spartak Moscow,184,FC Ufa,1,2,,,1.45118,0.473722
2015-05-30 11:30:00,6260,183,Spartak Moscow,195,Amkar,3,3,,,2.38124,1.31997
2015-07-17 20:00:00,2349,183,Spartak Moscow,184,FC Ufa,2,2,,,3.11719,0.867226
2015-07-26 21:00:00,2363,183,Spartak Moscow,196,FC Krasnodar,1,0,,,1.11679,0.544814
2015-08-03 20:00:00,2372,183,Spartak Moscow,186,Rubin Kazan,1,0,,,2.82556,0.955019
2015-08-09 20:00:00,2378,183,Spartak Moscow,194,Krylya Sovetov Samara,2,0,,,0.964013,0.685259
2015-08-14 22:30:00,2382,183,Spartak Moscow,185,CSKA Moscow,1,2,,,2.36242,1.92167
2015-08-22 16:00:00,2390,183,Spartak Moscow,195,Amkar,3,1,,,1.81343,0.564029
2015-08-29 20:30:00,2401,183,Spartak Moscow,193,Anzhi Makhachkala,1,2,,,2.51455,0.939741
2015-09-13 14:30:00,2408,183,Spartak Moscow,187,FC Rostov,1,0,,,0.584594,0.582656
2015-09-19 20:00:00,2415,183,Spartak Moscow,197,Kuban Krasnodar,0,3,,,1.13929,2.63784
2015-09-26 20:00:00,2423,183,Spartak Moscow,189,Zenit St. Petersburg,2,2,,,1.00222,1.7383
2015-10-03 15:30:00,2430,183,Spartak Moscow,191,Mordovya,1,0,,,1.13125,0.474442
2015-10-18 14:30:00,2441,183,Spartak Moscow,192,Lokomotiv Moscow,1,2,,,1.19069,0.919275
2015-10-25 14:30:00,2449,183,Spartak Moscow,190,Dinamo Moscow,3,2,,,1.49256,1.69432
2015-11-01 20:30:00,2458,183,Spartak Moscow,198,Ural,0,1,,,0.713115,1.49378
2015-11-07 20:30:00,2465,183,Spartak Moscow,188,FK Akhmat,1,2,,,0.821247,0.60918
2015-11-22 20:30:00,2475,183,Spartak Moscow,196,FC Krasnodar,3,2,,,2.74712,1.57606
2015-11-30 20:15:00,2484,183,Spartak Moscow,186,Rubin Kazan,2,2,,,2.70414,1.53455
2015-12-04 20:00:00,2490,183,Spartak Moscow,194,Krylya Sovetov Samara,1,0,,,1.91914,0.889667
2016-03-06 20:30:00,2498,183,Spartak Moscow,185,CSKA Moscow,0,1,,,0.28828,2.49728
2016-03-12 18:00:00,2503,183,Spartak Moscow,195,Amkar,2,1,,,2.69823,0.775247
2016-03-18 20:30:00,2510,183,Spartak Moscow,193,Anzhi Makhachkala,4,0,,,1.63389,0.26248
2016-04-02 20:30:00,2520,183,Spartak Moscow,187,FC Rostov,0,2,,,1.37585,1.42092
2016-04-10 20:30:00,2531,183,Spartak Moscow,197,Kuban Krasnodar,2,2,,,1.3979,1.98395
2016-04-16 20:30:00,2536,183,Spartak Moscow,189,Zenit St. Petersburg,2,5,,,1.76943,2.72125
