Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2020-09-27 10:30:00,14127,Spezia,Sassuolo,1,4,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2020-09-30 16:00:00,14134,Spezia,Udinese,2,0,10.6627,9.4883,9.8993,10.4398,10.9262,16.2863
2020-10-04 16:00:00,15454,Spezia,AC Milan,0,3,10.3896,12.3435,9.7519,9.0733,11.2775,-4.1374
2020-10-18 13:00:00,15461,Spezia,Fiorentina,2,2,10.2186,10.3767,9.5414,12.2146,11.1460,-4.7103
2020-10-25 14:00:00,15474,Spezia,Parma Calcio 1913,2,2,10.1323,9.4598,8.7789,5.9422,11.7360,19.4776
2020-11-01 14:00:00,15482,Spezia,Juventus,1,4,9.2319,10.9311,8.0447,-9.6042,11.4194,-41.7829
2020-11-07 17:00:00,15487,Spezia,Benevento,3,0,10.1959,8.6237,8.5588,11.6305,12.0832,20.6177
2020-11-21 17:00:00,15503,Spezia,Atalanta,0,0,10.2058,10.7255,8.1673,15.0840,12.4944,-18.3828
2020-11-29 17:00:00,15509,Spezia,Cagliari,2,2,10.3553,10.1544,8.6400,5.4548,12.3207,16.3537
2020-12-05 14:00:00,15523,Spezia,Lazio,1,2,9.8951,10.4747,8.7528,2.1177,11.5375,-2.6674
2020-12-12 14:00:00,15529,Spezia,Crotone,1,4,9.0073,9.7315,8.3978,10.1083,10.8668,25.3540
2020-12-16 19:45:00,15543,Spezia,Bologna,2,2,8.9468,9.3257,8.6007,13.3665,10.5429,19.7858
2020-12-20 14:00:00,15550,Spezia,Inter,1,2,9.6602,11.5871,9.4431,7.9407,11.3773,0.9840
2020-12-23 19:45:00,15563,Spezia,Genoa,1,2,9.1878,9.7429,9.0413,18.7936,11.0842,20.6920
2021-01-03 14:00:00,15575,Spezia,Verona,0,1,9.0768,10.3549,8.9064,14.4827,11.2472,29.9761
2021-01-06 17:00:00,15582,Spezia,Napoli,2,1,10.0335,10.4470,9.0916,8.8896,12.7255,-30.2460
2021-01-11 19:45:00,15593,Spezia,Sampdoria,2,1,10.3971,10.6242,9.5256,7.1311,12.7687,17.8647
2021-01-16 17:00:00,15605,Spezia,Torino,0,0,10.4872,10.1674,9.4448,4.0773,13.0297,18.0076
2021-01-23 14:00:00,15613,Spezia,Roma,3,4,10.3507,10.5777,9.2747,2.6875,13.1768,-32.5311
2021-01-31 11:30:00,15622,Spezia,Udinese,0,1,9.9939,10.7804,9.0712,14.3911,12.9168,15.9191
2021-02-06 14:00:00,15633,Spezia,Sassuolo,2,1,10.3771,9.6434,9.3739,8.2108,13.1304,11.3261
2021-02-13 19:45:00,15642,Spezia,AC Milan,2,0,10.9537,10.6071,9.6532,6.8677,13.5044,-8.6549
2021-02-19 17:30:00,15652,Spezia,Fiorentina,0,3,9.9992,10.5900,9.1416,12.9443,12.8569,-2.7633
2021-02-27 14:00:00,15664,Spezia,Parma Calcio 1913,2,2,9.6170,9.3525,8.8289,7.4606,12.4051,23.4950
2021-03-02 19:45:00,15670,Spezia,Juventus,0,3,9.4065,11.4854,9.0299,-8.1390,12.5331,-47.6391
2021-03-06 14:00:00,15677,Spezia,Benevento,1,1,9.2053,9.3030,9.1693,12.5864,11.9914,24.0199
