Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2015-08-23 22:30:00,1405,Sporting Gijon,Real Madrid,0,0,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
2015-08-29 20:30:00,1410,Sporting Gijon,Real Sociedad,0,0,10.2445,10.2335,10.0868,7.4379,10.4022,14.5292
2015-09-12 20:15:00,1421,Sporting Gijon,Valencia,0,1,9.9029,10.7196,9.8999,5.4754,10.1558,6.2141
2015-09-20 18:00:00,1435,Sporting Gijon,Deportivo La Coruna,3,2,10.5137,10.2352,10.4587,12.5757,10.5685,13.6457
2015-09-23 22:00:00,1442,Sporting Gijon,Rayo Vallecano,1,2,10.1307,9.8649,9.7323,10.3708,10.7790,15.6090
2015-09-27 14:00:00,1455,Sporting Gijon,Real Betis,1,2,9.6083,10.0634,9.4863,10.3167,10.2301,10.8103
2015-10-03 22:30:00,1462,Sporting Gijon,Espanyol,2,1,9.8373,8.7954,9.3722,10.0583,10.5523,10.7815
2015-10-19 22:30:00,1478,Sporting Gijon,Granada,3,3,9.5557,9.4924,8.8099,15.0441,10.5513,14.9410
2015-10-26 23:30:00,1488,Sporting Gijon,Athletic Club,0,3,9.1780,10.9224,8.5181,10.6159,10.8376,10.4801
2015-11-01 21:15:00,1497,Sporting Gijon,Malaga,1,0,9.5500,9.7938,8.8972,9.1560,10.9524,12.9317
2015-11-08 21:15:00,1507,Sporting Gijon,Atletico Madrid,0,1,9.7588,10.6765,9.1504,9.7415,11.3668,9.3615
2015-11-22 15:00:00,1514,Sporting Gijon,Levante,0,3,8.5523,9.6394,8.5223,13.0936,10.3320,17.1853
2015-11-29 01:05:00,1524,Sporting Gijon,Celta Vigo,1,2,8.6069,9.2160,8.7072,11.0012,10.5063,6.4313
2015-12-06 21:15:00,1536,Sporting Gijon,Las Palmas,3,1,9.2635,9.0769,9.7239,7.6940,10.3029,12.9599
2015-12-12 23:30:00,1543,Sporting Gijon,Sevilla,0,2,9.2917,10.8480,9.7308,12.3146,10.8524,2.3817
2015-12-30 21:30:00,1562,Sporting Gijon,Eibar,0,2,9.0673,10.1187,9.8125,9.8497,10.8220,15.3874
2016-01-04 23:30:00,1577,Sporting Gijon,Getafe,1,2,8.9700,10.2755,9.8836,12.2443,10.8063,17.3062
2016-01-10 15:00:00,1583,Sporting Gijon,Villarreal,0,2,9.1496,11.0090,10.4208,8.0118,11.1284,11.5056
2016-01-17 19:00:00,1593,Sporting Gijon,Real Madrid,1,5,9.0982,12.4955,10.7540,9.0319,11.6925,6.4592
2016-01-22 23:30:00,1598,Sporting Gijon,Real Sociedad,5,1,10.1485,8.7493,11.6303,8.4516,11.9169,12.7967
2016-01-31 19:00:00,1614,Sporting Gijon,Valencia,1,0,10.3887,9.3690,11.3723,1.9656,12.4052,6.5223
2016-02-07 01:05:00,1622,Sporting Gijon,Deportivo La Coruna,1,1,10.0368,9.8330,11.1300,11.2421,11.9437,13.6748
2016-02-12 23:30:00,1628,Sporting Gijon,Rayo Vallecano,2,2,9.8770,10.0574,11.1338,12.0397,11.6203,17.8252
2016-02-17 21:30:00,1638,Sporting Gijon,Barcelona,1,3,9.9205,12.5075,11.2926,9.2207,12.0485,-17.2061
2016-02-20 23:30:00,1642,Sporting Gijon,Real Betis,1,1,10.0273,9.7410,11.2631,8.9171,12.2916,14.3153
2016-02-27 21:15:00,1652,Sporting Gijon,Espanyol,2,4,9.0135,9.4858,10.8251,12.5796,11.2020,13.3914
2016-03-03 23:00:00,1666,Sporting Gijon,Granada,0,2,8.7140,9.6152,10.5877,15.4214,11.3405,18.3096
2016-03-06 21:15:00,1675,Sporting Gijon,Athletic Club,0,2,8.6472,11.0137,10.8492,10.6650,11.4455,8.8639
2016-03-11 23:30:00,1679,Sporting Gijon,Malaga,0,1,8.8478,9.7488,11.4241,9.0791,11.5217,12.1687
2016-03-19 19:00:00,1690,Sporting Gijon,Atletico Madrid,2,1,9.7449,11.0391,12.4810,7.5771,12.0090,6.7510
2016-04-04 22:30:00,1708,Sporting Gijon,Levante,0,0,9.8208,9.4726,12.2469,13.0522,12.3949,20.1428
2016-04-10 14:00:00,1714,Sporting Gijon,Celta Vigo,0,1,9.4194,10.1167,12.0393,12.7834,12.0498,8.9504
2016-04-16 20:15:00,1721,Sporting Gijon,Las Palmas,1,1,9.9352,10.4669,12.6343,7.5054,12.4864,14.9281
2016-04-20 22:45:00,1734,Sporting Gijon,Sevilla,2,1,9.8855,9.2861,12.1988,11.7266,12.5725,-0.9043
2016-04-23 22:30:00,1742,Sporting Gijon,Barcelona,0,6,9.1548,13.1936,11.5925,9.8018,13.2175,-23.1649
2016-04-29 22:30:00,1749,Sporting Gijon,Eibar,2,0,9.3749,8.3153,11.1537,10.7005,13.5966,13.9296
2016-05-08 19:00:00,1762,Sporting Gijon,Getafe,1,1,9.6131,9.5894,11.2048,14.1562,14.0218,19.5220
2016-05-15 21:30:00,1777,Sporting Gijon,Villarreal,2,0,9.9185,9.0293,11.2089,6.4594,14.1285,9.3485
2016-08-21 20:15:00,1784,Sporting Gijon,Athletic Club,2,1,10.1685,10.1685,11.4168,9.0078,14.1706,7.8303
2016-08-28 20:15:00,1796,Sporting Gijon,Alaves,0,0,10.2514,9.9171,11.2889,10.1279,14.4643,9.7063
2016-09-11 14:00:00,1805,Sporting Gijon,Leganes,2,1,10.2823,9.8441,11.3634,9.6728,14.2016,10.2654
2016-09-17 18:15:00,1811,Sporting Gijon,Atletico Madrid,0,5,9.4197,12.1945,11.2446,11.0087,13.8452,11.1303
2016-09-21 22:00:00,1822,Sporting Gijon,Celta Vigo,1,2,9.2906,9.5325,11.2305,9.8982,13.8511,10.1667
2016-09-24 18:15:00,1831,Sporting Gijon,Barcelona,0,5,8.6591,12.8961,11.0903,8.6126,13.9783,-28.3207
2016-10-01 22:45:00,1843,Sporting Gijon,Deportivo La Coruna,1,2,8.8612,9.7653,11.2835,15.0374,14.4392,14.7448
2016-10-16 20:30:00,1856,Sporting Gijon,Valencia,1,2,8.7160,9.9254,11.2696,2.9437,14.4126,8.9068
2016-10-22 22:45:00,1863,Sporting Gijon,Granada,0,0,8.6848,8.1222,11.1623,15.4885,14.4574,19.2563
2016-10-29 15:00:00,3309,Sporting Gijon,Sevilla,1,1,9.1152,10.4758,11.3905,13.7809,15.0899,-0.8290
2016-11-04 23:45:00,2776,Sporting Gijon,Malaga,2,3,9.3516,10.3242,11.7125,9.5289,15.4906,10.8696
2016-11-20 21:30:00,2793,Sporting Gijon,Real Sociedad,1,3,9.2195,11.4553,11.5913,7.9641,15.8476,15.1962
2016-11-26 19:15:00,2798,Sporting Gijon,Real Madrid,1,2,9.8786,11.6966,12.1412,2.8905,16.8658,-4.7464
2016-12-04 21:30:00,3169,Sporting Gijon,Osasuna,3,1,9.8188,8.1993,11.5743,9.8891,16.8131,10.5097
