Dátum,Meccs-Id,Hazai-Id,Hazai-Csapat,Ellenfél-Id,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-XG,Ellenfél-XG
2014-08-02 18:30:00,6420,211,Torpedo Moscow,185,CSKA Moscow,1,4,,,0.578158,3.13827
2014-08-09 14:00:00,6428,211,Torpedo Moscow,189,Zenit St. Petersburg,1,8,,,0.971363,5.27931
2014-08-12 17:00:00,6433,211,Torpedo Moscow,195,Amkar,1,1,,,0.954046,0.617434
2014-08-16 14:00:00,6441,211,Torpedo Moscow,198,Ural,2,0,,,1.24904,1.41621
2014-08-24 13:30:00,6454,211,Torpedo Moscow,196,FC Krasnodar,0,3,,,0.850627,0.909639
2014-08-30 11:00:00,6458,211,Torpedo Moscow,191,Mordovya,0,1,,,2.44006,1.12186
2014-09-14 10:30:00,6397,211,Torpedo Moscow,183,Spartak Moscow,1,3,,,0.696589,2.58205
2014-09-22 17:00:00,6408,211,Torpedo Moscow,190,Dinamo Moscow,1,3,,,1.24553,2.31253
2014-09-29 17:00:00,6416,211,Torpedo Moscow,186,Rubin Kazan,1,2,,,1.2886,2.01272
2014-10-20 14:00:00,6382,211,Torpedo Moscow,184,FC Ufa,1,1,,,0.832131,0.775502
2014-10-25 14:00:00,6386,211,Torpedo Moscow,197,Kuban Krasnodar,0,0,,,0.432787,0.838109
2014-11-03 11:00:00,6350,211,Torpedo Moscow,200,Arsenal Tula,0,1,,,0.486503,1.34804
2014-11-08 13:00:00,6355,211,Torpedo Moscow,192,Lokomotiv Moscow,0,1,,,0.314293,1.27999
2014-11-22 11:15:00,6362,211,Torpedo Moscow,187,FC Rostov,2,1,,,2.26135,1.20104
2014-11-29 17:15:00,6373,211,Torpedo Moscow,197,Kuban Krasnodar,1,1,,,0.522693,1.37848
2014-12-03 17:00:00,6335,211,Torpedo Moscow,188,FK Akhmat,1,0,,,0.848475,0.3184
2014-12-08 14:00:00,6343,211,Torpedo Moscow,184,FC Ufa,2,2,,,1.2908,0.850171
2015-03-09 10:00:00,6311,211,Torpedo Moscow,195,Amkar,0,0,,,0.108806,0.371689
2015-03-15 13:00:00,6319,211,Torpedo Moscow,189,Zenit St. Petersburg,1,1,,,0.470415,0.356423
2015-03-21 16:00:00,6326,211,Torpedo Moscow,183,Spartak Moscow,0,1,,,0.435475,0.715619
2015-04-05 18:15:00,6272,211,Torpedo Moscow,200,Arsenal Tula,3,1,,,1.24395,0.383771
2015-04-08 18:00:00,6277,211,Torpedo Moscow,192,Lokomotiv Moscow,0,2,,,1.09486,2.4246
2015-04-13 16:00:00,6287,211,Torpedo Moscow,188,FK Akhmat,0,0,,,0.33724,0.959175
2015-04-20 17:30:00,6296,211,Torpedo Moscow,187,FC Rostov,0,1,,,0.258468,1.13835
2015-04-25 14:00:00,6300,211,Torpedo Moscow,185,CSKA Moscow,0,2,,,0.763399,0.702854
2015-05-03 16:30:00,6229,211,Torpedo Moscow,186,Rubin Kazan,2,2,,,0.452394,2.20465
2015-05-10 14:00:00,6236,211,Torpedo Moscow,190,Dinamo Moscow,0,0,,,0.791373,1.24713
2015-05-17 16:30:00,6247,211,Torpedo Moscow,196,FC Krasnodar,2,2,,,0.884648,1.68052
2015-05-23 13:30:00,6250,211,Torpedo Moscow,198,Ural,3,1,,,1.77211,0.780937
2015-05-30 11:30:00,6263,211,Torpedo Moscow,191,Mordovya,2,0,,,3.3362,1.47093
