Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-24 16:30:00,5455,VfB Stuttgart,Borussia M.Gladbach,1,1,10.1250,9.8750,9.6310,10.3690,10.6190,9.3810
2014-08-30 14:30:00,5458,VfB Stuttgart,FC Cologne,0,2,9.4375,10.5625,9.2996,10.1086,10.0754,10.5164
2014-09-13 14:30:00,5413,VfB Stuttgart,Bayern Munich,0,2,9.2500,10.3750,9.3822,10.2466,10.1178,9.7534
2014-09-20 14:30:00,5421,VfB Stuttgart,Hoffenheim,0,2,8.8516,10.5547,9.5287,9.3988,9.6745,10.7105
2014-09-24 19:00:00,5433,VfB Stuttgart,Borussia Dortmund,2,2,9.2364,9.5059,9.7494,10.7239,10.2234,8.5377
2014-09-27 14:30:00,5440,VfB Stuttgart,Hannover 96,1,0,9.6295,9.9155,9.8857,9.4817,10.6232,10.0994
2014-10-03 19:30:00,5383,VfB Stuttgart,Hertha Berlin,2,3,9.5373,9.8529,9.8093,9.8640,10.7652,10.5919
2014-10-18 14:30:00,5396,VfB Stuttgart,Bayer Leverkusen,3,3,9.4880,9.8895,9.6191,10.4832,10.8568,8.7958
2014-10-25 14:30:00,5402,VfB Stuttgart,Eintracht Frankfurt,5,4,9.9232,9.2937,9.8430,9.2341,11.2534,9.6032
2014-11-01 14:30:00,5350,VfB Stuttgart,Wolfsburg,0,4,9.0911,11.9269,9.5673,10.5485,10.8649,10.5555
2014-11-08 17:30:00,5362,VfB Stuttgart,Werder Bremen,0,2,8.7343,9.5206,9.7427,11.0777,10.4758,10.4635
2014-11-23 16:30:00,5373,VfB Stuttgart,Augsburg,0,1,8.8857,10.6886,9.7243,10.1949,11.0471,10.4320
2014-11-28 19:30:00,5374,VfB Stuttgart,Freiburg,4,1,10.0788,8.9651,10.6346,9.7572,11.7731,9.6730
2014-12-06 14:30:00,5315,VfB Stuttgart,Schalke 04,0,4,9.1308,11.7347,10.4316,9.2304,11.0801,12.4893
2014-12-13 17:30:00,5327,VfB Stuttgart,Mainz 05,1,1,9.2621,9.0246,10.3612,8.9735,11.4131,9.8256
2014-12-16 19:00:00,5331,VfB Stuttgart,Hamburger SV,1,0,9.7489,9.2226,10.8301,10.0348,11.6679,10.9105
2014-12-20 14:30:00,5344,VfB Stuttgart,Paderborn,0,0,9.5238,9.5735,10.5647,9.0426,11.4831,11.3543
2015-01-31 14:30:00,5308,VfB Stuttgart,Borussia M.Gladbach,0,1,9.3481,10.4969,10.7239,9.3364,11.2225,9.1576
2015-02-04 19:00:00,5267,VfB Stuttgart,FC Cologne,0,0,9.7112,9.9374,11.1646,9.5808,11.5080,11.2937
2015-02-07 14:30:00,5274,VfB Stuttgart,Bayern Munich,0,2,9.3037,10.9887,11.2658,8.5156,11.0918,4.4620
2015-02-14 14:30:00,5283,VfB Stuttgart,Hoffenheim,1,2,9.2417,9.6177,11.2009,9.9751,11.2827,9.5101
2015-02-20 19:30:00,5289,VfB Stuttgart,Borussia Dortmund,2,3,9.2507,10.7688,11.4587,13.5478,11.2930,8.7394
2015-02-28 14:30:00,5302,VfB Stuttgart,Hannover 96,1,1,9.3878,9.1619,11.3964,10.2295,11.6295,10.0950
2015-03-06 19:30:00,5233,VfB Stuttgart,Hertha Berlin,0,0,9.3488,9.7707,11.4565,10.3079,11.4913,12.7340
2015-03-13 19:30:00,5242,VfB Stuttgart,Bayer Leverkusen,0,4,8.7929,11.1810,11.7598,10.3994,11.0761,8.2121
2015-03-21 14:30:00,5256,VfB Stuttgart,Eintracht Frankfurt,3,1,9.4313,9.2080,12.1156,9.5935,11.4971,9.5721
2015-04-04 14:30:00,5200,VfB Stuttgart,Wolfsburg,1,3,9.4744,11.0607,12.2044,7.6540,11.9946,6.9673
2015-04-12 16:30:00,5212,VfB Stuttgart,Werder Bremen,3,2,9.7383,9.7662,12.6945,11.1663,11.7824,11.8658
