Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Meccs-Előtti-PR,Meccs-Utáni-PR,Meccs-Előtti-xgPR,Meccs-Utáni-xgPR,Meccs-Előtti-Mixed_PR,Meccs-Utáni-Mixed_PR
2015-08-08 18:00:00,83,Watford,Everton,2,2,10,10.1250,10,10.1134,10,10.1366
2015-08-15 18:00:00,96,Watford,West Bromwich Albion,0,0,10.125,10.1932,10.1134,10.2008,10.1366,10.1856
2015-08-23 19:00:00,109,Watford,Southampton,0,0,10.1932,10.1525,10.2008,10.2831,10.1856,10.0218
2015-08-29 18:00:00,117,Watford,Manchester City,0,2,10.1525,10.4447,10.2831,10.7840,10.0218,10.6054
2015-09-12 18:00:00,124,Watford,Swansea,1,0,10.4447,10.6238,10.784,10.9807,10.6054,10.5170
2015-09-19 18:00:00,132,Watford,Newcastle United,2,1,10.6238,10.7799,10.9807,10.9339,10.517,10.6260
2015-09-27 19:00:00,149,Watford,Crystal Palace,0,1,10.7799,10.4665,10.9339,10.4581,10.626,10.7251
2015-10-03 18:00:00,153,Watford,Bournemouth,1,1,10.4665,10.3753,10.4581,10.2196,10.7251,10.7813
2015-10-17 20:30:00,168,Watford,Arsenal,0,3,10.3753,9.6379,10.2196,9.6233,10.7813,10.6528
2015-10-24 18:00:00,175,Watford,Stoke,2,0,9.6379,10.1643,9.6233,9.6977,10.6528,11.1312
2015-10-31 19:00:00,186,Watford,West Ham,2,0,10.1643,10.9501,9.6977,10.2360,11.1312,11.6646
2015-11-07 19:00:00,192,Watford,Leicester,1,2,10.9501,10.9193,10.236,10.3156,11.6646,11.7734
2015-11-21 16:45:00,201,Watford,Manchester United,1,2,10.9193,10.6200,10.3156,10.3084,11.7734,11.4321
2015-11-28 19:00:00,212,Watford,Aston Villa,3,2,10.62,10.6181,10.3084,10.0471,11.4321,11.4397
2015-12-05 19:00:00,223,Watford,Norwich,2,0,10.6181,10.6762,10.0471,10.0456,11.4397,11.0574
2015-12-12 19:00:00,233,Watford,Sunderland,1,0,10.6762,10.9314,10.0456,10.3450,11.0574,11.0184
2015-12-20 17:30:00,248,Watford,Liverpool,3,0,10.9314,11.4320,10.345,10.4999,11.0184,11.1147
2015-12-26 19:00:00,256,Watford,Chelsea,2,2,11.432,11.2481,10.4999,10.2093,11.1147,11.0374
2015-12-28 19:00:00,262,Watford,Tottenham,1,2,11.2481,10.5484,10.2093,9.9103,11.0374,10.1870
2016-01-02 21:30:00,278,Watford,Manchester City,1,2,10.5484,9.9808,9.9103,9.6660,10.187,9.5460
2016-01-13 23:45:00,284,Watford,Southampton,0,2,9.9808,9.5857,9.666,9.3692,9.546,9.5527
2016-01-19 00:00:00,300,Watford,Swansea,0,1,9.5857,9.4929,9.3692,9.5393,9.5527,9.4470
2016-01-23 19:00:00,307,Watford,Newcastle United,2,1,9.4929,9.5565,9.5393,9.6765,9.447,9.1870
