Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-23 14:30:00,5450,Werder Bremen,Hertha Berlin,2,2,,,,,,
2014-08-30 14:30:00,5457,Werder Bremen,Hoffenheim,1,1,,,,,,
2014-09-12 19:30:00,5411,Werder Bremen,Bayer Leverkusen,3,3,,,,,,
2014-09-20 14:30:00,5425,Werder Bremen,Augsburg,2,4,,,,,,
2014-09-23 19:00:00,5431,Werder Bremen,Schalke 04,0,3,,,,,,
2014-09-27 17:30:00,5444,Werder Bremen,Wolfsburg,1,2,,,,,,
2014-10-04 14:30:00,5384,Werder Bremen,Freiburg,1,1,,,,,,
2014-10-18 14:30:00,5392,Werder Bremen,Bayern Munich,0,6,,,,,,
2014-10-24 19:30:00,5401,Werder Bremen,FC Cologne,0,1,,,,,,
2014-11-01 14:30:00,5348,Werder Bremen,Mainz 05,2,1,,,,,,
2014-11-08 17:30:00,5362,Werder Bremen,VfB Stuttgart,2,0,,,,,,
2014-11-23 14:30:00,5372,Werder Bremen,Hamburger SV,0,2,,,,,,
2014-11-29 14:30:00,5379,Werder Bremen,Paderborn,4,0,,,,,,
2014-12-07 16:30:00,5320,Werder Bremen,Eintracht Frankfurt,2,5,,,,,,
2014-12-13 14:30:00,5323,Werder Bremen,Hannover 96,3,3,,,,,,
2014-12-17 19:00:00,5336,Werder Bremen,Borussia M.Gladbach,1,4,,,,,,
2014-12-20 14:30:00,5341,Werder Bremen,Borussia Dortmund,2,1,,,,,,
2015-02-01 14:30:00,5260,Werder Bremen,Hertha Berlin,2,0,,,,,,
2015-02-04 19:00:00,5270,Werder Bremen,Hoffenheim,2,1,,,,,,
2015-02-08 14:30:00,5278,Werder Bremen,Bayer Leverkusen,2,1,,,,,,
2015-02-14 14:30:00,5284,Werder Bremen,Augsburg,3,2,,,,,,
2015-02-21 14:30:00,5293,Werder Bremen,Schalke 04,1,1,,,,,,
2015-03-01 16:30:00,5232,Werder Bremen,Wolfsburg,3,5,,,,,,
2015-03-07 14:30:00,5237,Werder Bremen,Freiburg,1,0,,,,,,
2015-03-14 14:30:00,5246,Werder Bremen,Bayern Munich,0,4,,,,,,
2015-03-21 14:30:00,5252,Werder Bremen,FC Cologne,1,1,,,,,,
2015-04-04 14:30:00,5195,Werder Bremen,Mainz 05,0,0,,,,,,
2015-04-12 16:30:00,5212,Werder Bremen,VfB Stuttgart,2,3,,,,,,
2015-04-19 14:30:00,5220,Werder Bremen,Hamburger SV,1,0,,,,,,
2015-04-26 14:30:00,5229,Werder Bremen,Paderborn,2,2,,,,,,
2015-05-02 14:30:00,5163,Werder Bremen,Eintracht Frankfurt,1,0,,,,,,
2015-05-09 14:30:00,5172,Werder Bremen,Hannover 96,1,1,,,,,,
2015-05-16 14:30:00,5182,Werder Bremen,Borussia M.Gladbach,0,2,,,,,,
2015-05-23 14:30:00,5193,Werder Bremen,Borussia Dortmund,2,3,,,,,,
2015-08-15 17:30:00,1024,Werder Bremen,Schalke 04,0,3,,,,,,
2015-08-21 22:30:00,1030,Werder Bremen,Hertha Berlin,1,1,,,,,,
2015-08-30 19:30:00,1047,Werder Bremen,Borussia M.Gladbach,2,1,,,,,,
2015-09-13 17:30:00,1055,Werder Bremen,Hoffenheim,3,1,,,,,,
2015-09-19 17:30:00,1061,Werder Bremen,Ingolstadt,0,1,,,,,,
2015-09-22 22:00:00,1069,Werder Bremen,Darmstadt,1,2,,,,,,
2015-09-26 17:30:00,1079,Werder Bremen,Bayer Leverkusen,0,3,,,,,,
2015-10-03 17:30:00,1086,Werder Bremen,Hannover 96,0,1,,,,,,
2015-10-17 17:30:00,1095,Werder Bremen,Bayern Munich,0,1,,,,,,
2015-10-24 17:30:00,1103,Werder Bremen,Mainz 05,3,1,,,,,,
2015-10-31 18:30:00,1115,Werder Bremen,Borussia Dortmund,1,3,,,,,,
2015-11-08 20:30:00,1128,Werder Bremen,Augsburg,2,1,,,,,,
2015-11-21 18:30:00,1134,Werder Bremen,Wolfsburg,0,6,,,,,,
2015-11-28 18:30:00,1139,Werder Bremen,Hamburger SV,1,3,,,,,,
2015-12-06 18:30:00,1154,Werder Bremen,VfB Stuttgart,1,1,,,,,,
2015-12-12 18:30:00,1159,Werder Bremen,FC Cologne,1,1,,,,,,
2015-12-19 18:30:00,1168,Werder Bremen,Eintracht Frankfurt,1,2,,,,,,
2016-01-24 20:30:00,1182,Werder Bremen,Schalke 04,3,1,,,,,,
2016-01-30 18:30:00,1188,Werder Bremen,Hertha Berlin,3,3,,,,,,
2016-02-05 23:30:00,1192,Werder Bremen,Borussia M.Gladbach,1,5,,,,,,
2016-02-13 18:30:00,1206,Werder Bremen,Hoffenheim,1,1,,,,,,
2016-02-20 18:30:00,1214,Werder Bremen,Ingolstadt,0,2,,,,,,
2016-02-27 18:30:00,1220,Werder Bremen,Darmstadt,2,2,,,,,,
2016-03-02 23:00:00,1235,Werder Bremen,Bayer Leverkusen,4,1,,,,,,
2016-03-05 18:30:00,1239,Werder Bremen,Hannover 96,4,1,,,,,,
2016-03-12 21:30:00,1252,Werder Bremen,Bayern Munich,0,5,,,,,,
