Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2014-08-16 15:00:00,4753,West Bromwich Albion,Sunderland,2,2,9.8750,10.1250,10.0479,9.9521,9.7021,10.2979
2014-08-23 15:00:00,4762,West Bromwich Albion,Southampton,0,0,10.0000,9.7500,10.1729,10.0551,9.8271,9.6949
2014-08-30 15:00:00,4773,West Bromwich Albion,Swansea,0,3,9.4375,10.8125,10.0280,9.6905,9.5970,10.6845
2014-09-13 15:00:00,4725,West Bromwich Albion,Everton,0,2,8.7851,9.9805,9.8243,9.9463,8.9960,10.2646
2014-09-21 13:30:00,4735,West Bromwich Albion,Tottenham,1,0,9.4443,9.2626,10.3948,8.8307,9.4938,9.4447
2014-09-28 16:00:00,4747,West Bromwich Albion,Burnley,4,0,10.3178,8.5650,10.6027,9.6688,10.0330,9.2110
2014-10-04 15:00:00,4691,West Bromwich Albion,Liverpool,1,2,10.0286,9.9504,10.5327,10.4366,9.7747,9.4640
2014-10-20 20:00:00,4708,West Bromwich Albion,Manchester United,2,2,9.9696,10.3516,10.3943,9.8478,9.7951,10.1057
2014-10-25 15:00:00,4712,West Bromwich Albion,Crystal Palace,2,2,9.8279,10.0445,10.1735,10.3238,9.7325,10.5152
2014-11-01 15:00:00,4651,West Bromwich Albion,Leicester,1,0,10.0267,8.9244,9.9104,9.0399,10.1432,10.0587
2014-11-09 13:30:00,4667,West Bromwich Albion,Newcastle United,0,2,9.4394,10.7647,9.8408,11.3908,9.5382,10.6387
2014-11-22 15:00:00,4674,West Bromwich Albion,Chelsea,0,2,9.4859,11.0788,9.3190,10.5155,10.6529,6.8925
2014-11-29 12:45:00,4679,West Bromwich Albion,Arsenal,0,1,9.2229,10.1969,9.1208,11.6907,10.5751,7.2031
2014-12-02 20:00:00,4594,West Bromwich Albion,West Ham,1,2,9.1163,10.4029,9.3063,9.8115,10.4263,9.4944
2014-12-06 15:00:00,4603,West Bromwich Albion,Hull,0,0,9.2970,9.1585,9.6058,7.6927,10.4882,12.1244
2014-12-13 15:00:00,4612,West Bromwich Albion,Aston Villa,1,0,9.5772,9.6377,9.9288,9.6624,10.4757,12.1123
2014-12-20 15:00:00,4622,West Bromwich Albion,Queens Park Rangers,2,3,9.4696,9.7543,9.6643,11.5878,10.7749,10.9210
2014-12-26 15:00:00,4633,West Bromwich Albion,Manchester City,1,3,9.3648,11.6553,10.1951,8.7593,10.5346,8.5511
