Dátum,Meccs-Id,Fő-Csapat,Ellenfél-Csapat,Hazai-Gól,Ellenfél-Gól,Hazai-PR,Ellenfél-PR,Hazai-xgPR,Ellenfél-xg-PR,Hazai-Mixed-PR,Ellenfél-Mixed-PR
2018-08-11 19:30:00,9203,Wolverhampton Wanderers,Everton,2,2,9.8750,10.1250,9.9189,10.0811,9.8311,10.1689
2018-08-18 17:00:00,9210,Wolverhampton Wanderers,Leicester,0,2,9.5000,10.2502,10.2616,11.1323,9.2385,8.1172
2018-08-25 14:30:00,9217,Wolverhampton Wanderers,Manchester City,1,1,10.1812,12.0434,10.7980,8.7966,10.0644,-6.2102
2018-09-01 14:00:00,9228,Wolverhampton Wanderers,West Ham,1,0,10.3967,9.3279,10.8471,5.2649,10.1964,21.8912
2018-09-16 12:30:00,9244,Wolverhampton Wanderers,Burnley,1,0,9.9862,8.6653,10.9823,5.4013,8.9903,24.6799
2018-09-22 14:00:00,9248,Wolverhampton Wanderers,Manchester United,1,1,10.2558,10.2952,11.3759,-0.0380,9.1360,-5.3714
2018-09-29 14:00:00,9258,Wolverhampton Wanderers,Southampton,2,0,10.5748,9.7130,11.3813,14.7559,9.2687,2.6699
2018-10-06 14:00:00,9271,Wolverhampton Wanderers,Crystal Palace,1,0,10.6999,9.4501,11.1860,9.5858,9.4642,10.3146
2018-10-20 14:00:00,9278,Wolverhampton Wanderers,Watford,0,2,9.6187,9.9562,10.4562,16.2271,8.5316,17.9357
2018-10-27 14:00:00,9290,Wolverhampton Wanderers,Brighton,0,1,9.7610,10.5455,10.9402,10.3224,8.5821,16.2691
2018-11-03 19:45:00,9304,Wolverhampton Wanderers,Tottenham,2,3,9.7314,11.1721,11.3544,-1.3594,8.3587,-12.7962
2018-11-11 16:30:00,9316,Wolverhampton Wanderers,Arsenal,1,1,10.2506,10.7889,12.0985,6.3656,8.6530,-17.5370
2018-11-25 16:00:00,9325,Wolverhampton Wanderers,Huddersfield,0,2,9.3475,10.0413,11.7138,13.0197,7.7315,18.0636
2018-11-30 20:00:00,9335,Wolverhampton Wanderers,Cardiff,1,2,9.3458,9.8424,11.9358,11.1957,7.7561,11.9889
2018-12-05 19:45:00,9339,Wolverhampton Wanderers,Chelsea,2,1,9.8494,10.3567,12.0834,4.8392,8.3658,-19.3753
2018-12-09 16:00:00,9348,Wolverhampton Wanderers,Newcastle United,2,1,10.2239,9.4730,12.4874,12.7405,8.4609,21.4554
2018-12-15 15:00:00,9357,Wolverhampton Wanderers,Bournemouth,2,0,10.4257,9.3291,12.5630,9.9940,8.2888,9.4142
2018-12-21 20:00:00,9367,Wolverhampton Wanderers,Liverpool,0,2,10.3051,12.5638,12.5924,10.7295,8.5181,-18.3520
2018-12-26 12:30:00,9383,Wolverhampton Wanderers,Fulham,1,1,10.1538,9.3513,12.4616,11.5366,8.3463,13.6660
2018-12-29 15:00:00,9388,Wolverhampton Wanderers,Tottenham,3,1,11.3827,11.3404,13.4232,-3.1822,9.3424,-13.8866
2019-01-02 19:45:00,9397,Wolverhampton Wanderers,Crystal Palace,0,2,10.4201,10.9950,12.6380,12.2389,8.7024,11.5013
