Dátum,Meccs-Id,Hazai-Id,Hazai Csapat,Ellenfél-Id,Ellenfél,Hazai Gól,Ellenfél Gól,Hazai_PR,Ellenfél_PR,Hazai XG,Ellenfél XG
2014-08-23 17:30:00,5453,119,Bayer Leverkusen,129,Borussia Dortmund,2,0,,,1.14915,0.482324
2014-08-30 14:30:00,5460,119,Bayer Leverkusen,122,Hertha Berlin,4,2,,,2.53036,0.712547
2014-09-12 19:30:00,5411,119,Bayer Leverkusen,123,Werder Bremen,3,3,,,1.98321,1.72618
2014-09-21 14:30:00,5427,119,Bayer Leverkusen,131,Wolfsburg,1,4,,,0.616799,1.55879
2014-09-24 19:00:00,5434,119,Bayer Leverkusen,121,Augsburg,1,0,,,1.65235,0.571159
2014-09-27 14:30:00,5439,119,Bayer Leverkusen,135,Freiburg,0,0,,,1.17679,0.722358
2014-10-04 14:30:00,5387,119,Bayer Leverkusen,205,Paderborn,2,2,,,1.60118,1.12552
2014-10-18 14:30:00,5396,119,Bayer Leverkusen,133,VfB Stuttgart,3,3,,,1.86824,1.30466
2014-10-25 17:30:00,5407,119,Bayer Leverkusen,124,Schalke 04,1,0,,,0.837202,0.145365
2014-11-01 14:30:00,5351,119,Bayer Leverkusen,118,Hamburger SV,0,1,,,0.426376,1.33863
2014-11-08 14:30:00,5359,119,Bayer Leverkusen,125,Mainz 05,0,0,,,2.07319,0.293271
2014-11-22 14:30:00,5369,119,Bayer Leverkusen,128,Hannover 96,3,1,,,2.36608,0.780087
2014-11-29 14:30:00,5377,119,Bayer Leverkusen,134,FC Cologne,5,1,,,2.37812,0.950144
2014-12-06 17:30:00,5318,119,Bayer Leverkusen,117,Bayern Munich,0,1,,,0.389245,0.947473
2014-12-14 14:30:00,5328,119,Bayer Leverkusen,130,Borussia M.Gladbach,1,1,,,1.01373,1.15522
2014-12-17 19:00:00,5337,119,Bayer Leverkusen,120,Hoffenheim,1,0,,,2.17898,0.443131
2014-12-20 14:30:00,5343,119,Bayer Leverkusen,132,Eintracht Frankfurt,1,1,,,0.861769,1.45883
2015-01-31 17:30:00,5311,119,Bayer Leverkusen,129,Borussia Dortmund,0,0,,,0.341818,0.451401
2015-02-04 19:00:00,5269,119,Bayer Leverkusen,122,Hertha Berlin,1,0,,,1.06863,0.531751
2015-02-08 14:30:00,5278,119,Bayer Leverkusen,123,Werder Bremen,1,2,,,1.74921,0.885549
2015-02-14 14:30:00,5282,119,Bayer Leverkusen,131,Wolfsburg,4,5,,,1.98748,2.08631
2015-02-21 14:30:00,5291,119,Bayer Leverkusen,121,Augsburg,2,2,,,1.93428,1.92692
2015-02-28 14:30:00,5300,119,Bayer Leverkusen,135,Freiburg,1,0,,,0.57152,0.271169
2015-03-08 16:30:00,5241,119,Bayer Leverkusen,205,Paderborn,3,0,,,1.17926,0.755297
2015-03-13 19:30:00,5242,119,Bayer Leverkusen,133,VfB Stuttgart,4,0,,,1.59835,1.03528
2015-03-21 17:30:00,5257,119,Bayer Leverkusen,124,Schalke 04,1,0,,,1.3174,1.79663
2015-04-04 14:30:00,5199,119,Bayer Leverkusen,118,Hamburger SV,4,0,,,3.81979,0.35348
2015-04-11 14:30:00,5208,119,Bayer Leverkusen,125,Mainz 05,3,2,,,0.970257,2.21349
2015-04-18 14:30:00,5218,119,Bayer Leverkusen,128,Hannover 96,4,0,,,2.60733,0.326006
2015-04-25 14:30:00,5226,119,Bayer Leverkusen,134,FC Cologne,1,1,,,1.19204,1.30026
2015-05-02 17:30:00,5165,119,Bayer Leverkusen,117,Bayern Munich,2,0,,,1.12021,1.20915
2015-05-09 14:30:00,5171,119,Bayer Leverkusen,130,Borussia M.Gladbach,0,3,,,0.58536,2.05603
2015-05-16 14:30:00,5178,119,Bayer Leverkusen,120,Hoffenheim,2,0,,,1.17358,0.692454
2015-05-23 14:30:00,5188,119,Bayer Leverkusen,132,Eintracht Frankfurt,1,2,,,0.836413,1.11352
