Dátum,Meccs-Id,Hazai-Id,Hazai Csapat,Ellenfél-Id,Ellenfél,Hazai Gól,Ellenfél Gól,Hazai_PR,Ellenfél_PR,Hazai XG,Ellenfél XG
2014-08-23 14:30:00,5451,132,Eintracht Frankfurt,135,Freiburg,1,0,,,1.75331,1.38084
2014-08-30 14:30:00,5461,132,Eintracht Frankfurt,131,Wolfsburg,2,2,,,1.59633,1.00484
2014-09-14 14:30:00,5418,132,Eintracht Frankfurt,121,Augsburg,0,1,,,0.845902,1.00028
2014-09-20 14:30:00,5423,132,Eintracht Frankfurt,124,Schalke 04,2,2,,,0.83546,1.78008
2014-09-23 19:00:00,5432,132,Eintracht Frankfurt,125,Mainz 05,2,2,,,1.45137,1.09799
2014-09-28 16:30:00,5446,132,Eintracht Frankfurt,118,Hamburger SV,2,1,,,0.232889,1.09327
2014-10-04 17:30:00,5389,132,Eintracht Frankfurt,134,FC Cologne,3,2,,,2.49948,1.12408
2014-10-19 16:30:00,5400,132,Eintracht Frankfurt,205,Paderborn,1,3,,,0.558647,2.37575
2014-10-25 14:30:00,5402,132,Eintracht Frankfurt,133,VfB Stuttgart,4,5,,,2.97969,3.13433
2014-11-01 14:30:00,5349,132,Eintracht Frankfurt,128,Hannover 96,0,1,,,0.353128,1.11725
2014-11-08 14:30:00,5360,132,Eintracht Frankfurt,117,Bayern Munich,0,4,,,0.222447,3.03467
2014-11-22 14:30:00,5367,132,Eintracht Frankfurt,130,Borussia M.Gladbach,3,1,,,1.73996,0.595484
2014-11-30 16:30:00,5382,132,Eintracht Frankfurt,129,Borussia Dortmund,2,0,,,2.21905,0.769829
2014-12-07 16:30:00,5320,132,Eintracht Frankfurt,123,Werder Bremen,5,2,,,3.8335,1.44207
2014-12-12 19:30:00,5321,132,Eintracht Frankfurt,120,Hoffenheim,2,3,,,2.42804,3.32968
2014-12-17 19:00:00,5334,132,Eintracht Frankfurt,122,Hertha Berlin,4,4,,,2.73817,2.04957
2014-12-20 14:30:00,5343,132,Eintracht Frankfurt,119,Bayer Leverkusen,1,1,,,1.45883,0.861769
2015-01-31 14:30:00,5307,132,Eintracht Frankfurt,135,Freiburg,1,4,,,1.11886,3.19272
2015-02-03 19:00:00,5263,132,Eintracht Frankfurt,131,Wolfsburg,1,1,,,0.948078,1.8612
2015-02-08 16:30:00,5279,132,Eintracht Frankfurt,121,Augsburg,2,2,,,2.01179,1.76193
2015-02-14 17:30:00,5286,132,Eintracht Frankfurt,124,Schalke 04,1,0,,,1.11898,1.09914
2015-02-21 14:30:00,5292,132,Eintracht Frankfurt,125,Mainz 05,1,3,,,0.851176,1.29637
2015-02-28 17:30:00,5304,132,Eintracht Frankfurt,118,Hamburger SV,2,1,,,2.21323,1.43145
2015-03-08 14:30:00,5240,132,Eintracht Frankfurt,134,FC Cologne,2,4,,,1.89213,1.74567
2015-03-14 14:30:00,5247,132,Eintracht Frankfurt,205,Paderborn,4,0,,,1.726,0.634028
2015-03-21 14:30:00,5256,132,Eintracht Frankfurt,133,VfB Stuttgart,1,3,,,1.35468,2.22419
2015-04-04 14:30:00,5196,132,Eintracht Frankfurt,128,Hannover 96,2,2,,,1.03699,1.33074
2015-04-11 14:30:00,5205,132,Eintracht Frankfurt,117,Bayern Munich,0,3,,,0.243596,2.15165
2015-04-17 19:30:00,5213,132,Eintracht Frankfurt,130,Borussia M.Gladbach,0,0,,,1.45853,1.06606
2015-04-25 14:30:00,5227,132,Eintracht Frankfurt,129,Borussia Dortmund,0,2,,,0.372545,2.47437
2015-05-02 14:30:00,5163,132,Eintracht Frankfurt,123,Werder Bremen,0,1,,,1.2158,2.86921
2015-05-09 14:30:00,5173,132,Eintracht Frankfurt,120,Hoffenheim,3,1,,,0.906802,0.788645
2015-05-16 14:30:00,5183,132,Eintracht Frankfurt,122,Hertha Berlin,0,0,,,0.0408065,1.08366
2015-05-23 14:30:00,5188,132,Eintracht Frankfurt,119,Bayer Leverkusen,2,1,,,1.11352,0.836413
